lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
сила	NN	example	22	22_сила_105389		Силою вещей она принуждена замыкаться в государственные, национальные рамки.	0:5	0:76	28102	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_59067		За изготовление новых конструкций и пуск в эксплоатацию усовершенствованных турбин для Днепровской ГЭС имени Ленина мощностью в 102 000 лошадиных сил награжден Сталинской премией коллектив инженеров Ленинградского металлического завода имени Сталина во главе с Н. Н. Ковалевым.	146:149	0:277	28121	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_150258		Но здесь я ощутил с особенной силой невозвратимую потерю.	30:35	0:57	28115	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_97143		Скоро восток начинает бледнеть, потом краснеть и, наконец, все небо становится видно-- чистое, бледное, как лицо человека после перенесенного несчастья, которое дало ему новые силы к жизни и наполнило душу ровным и чистым, спокойным светом.	176:180	0:240	28132	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_88453		Еще и поэтому присутствие в Вооруженных силах священников представляется мне небесполезным.	40:45	0:91	28108	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_161245		Гейне, характеризуя его в«Мемуарах» как«полуфантазера, занимавшегося пропагандою космополитических, осчастливливающих мир утопий, и полуавантюриста, который в сознании своей индивидуальной силы разрушает или переступает гнилые пределы гнилого общества»,-- свидетельствует о сильном влиянии, которое производило на его детское впечатлительное воображение и то, что он мог понять в этой уцелевшей записной книжке, и сохранившиеся в семье рассказы и традиции об этой таинственной личности.	189:193	0:486	28117	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_57698		Были определены главные направления работы, и на этих участках сконцентрированы все силы и контроль за исполнением решений.	84:88	0:123	28122	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_157831		А в это время Штокман, со вспузырившейся на губах розовой кровицей, судорожно икая, весь мертвенно-белый, с минуту раскачивался, стоя на ломберном столе, и еще успел выкрикнуть, напрягши последние, уходящие силы, остаток воли:	207:211	0:226	28120	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_125326		Во всех финляндских газетах появились статьи, в которых говорится, что страну ожидают тяжелые испытания, так как финляндцы не могут признать законной силы за актом, изданным помимо сейма.	150:154	0:187	28127	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_54333		Если мышление возникает из вещей как их структура и смысл, то в этом случае никакая творческая сила мышления не будет страшной.	95:99	0:127	28111	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_63147		Та мерзость, ворвавшаяся к нам в дом, была колдуном Бромедвеем, который одновременно мог быть видимым для одних и невидимым для других, который удачно вжился в тело несчастного городского Главы-- все до сих пор думают, что от отчаяния он не в силах умереть.	243:248	0:257	28130	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_164282		Никто не смотрит с такой точки зрения на протоплазму ядра, потому что в известные поры жизни этого органа фибриллярные части показывают такую серию форменных превращений, которые не оставляют сомнения в том, что самим этим фибриллярным частям присущи жизненные силы.	261:265	0:266	28128	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_160846		Поможем несчастному чем Бог пошлет-- и спешим уйти куда-нибудь, куда нас манит сила житейской суеты.	79:83	0:100	28112	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_39421		Другая же стала изо всей силы работать лапками и к утру оказалась сидящей на сбитом ею масле.	25:29	0:93	28100	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_89603		У республиканской элиты есть один, единственный шанс свалить Трампа-- консолидировать против него все силы и объединиться вокруг одного кандидата.	102:106	0:146	28104	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_87393		-- Льнов возился, отчаянно шурша страницами,-- то место, где Мережковский сравнивает Белого с тем ангелом, который настолько опасался магической силы этого сакрального языка, что не произносил, а писал слова задом наперед, чтобы, не дай бог, не вызвать темные силы...	145:149	0:267	28103	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_123575		Газета говорит, что хотя державы тройственного союза не могут входить в обсуждение вопроса о присоединении Турции к тройственному союзу, тем не менее, со стороны Германии следовало бы горячо посоветовать младотуркам, силою меча хорошо организованной мощной армии, сохранить и оберечь все, чем новое младотурецкое государство владеет.	217:222	0:333	28110	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_96364		Прокофий курил и ни разу не перебил Копенкина, думая о приспособлении к революции этой неорганизованной вооруженной силы.	116:120	0:121	28109	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_88124		Для того чтобы отреагировать на такую опасность и начать развитие, элите нужна сила воли.	79:83	0:89	28126	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_147984		Нашел Илья силу принять великое испытание.	11:15	0:42	28131	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_104410		Ни солнечности улыбки, ни черной торжественности вражьих сил, которые тоже праздник.	57:60	0:84	28134	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_118736		В связи с создавшимся положением я отдал генералу Кутепову приказ: оставивши часть сил для прикрытия Бердянского и Верхнетокмакского направлений, сосредоточить сильную ударную группу между Большим Токмаком и железной дорогой на Александровск и нанести удар по Васильевской группе красных, стремясь прижать ее к плавням.	83:86	0:319	28116	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_66688		Дрессировщик должен хорошо понимать психологию животного и уметь доказать зверю, что по бесстрашию и силе воли превосходит его.	101:105	0:127	28125	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_19460		Но через несколько секунд шеф заорал в трубку с новой силой, впервые в жизни назвав меня не на«вы» и не по имени-отчеству, что свидетельствовало о сильнейшем его потрясении:	54:59	0:173	28114	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_189492		Так, де-Кандоль в вышеприведенной цитате говорит о силе растения, подразумевая под этим его выносливость.	51:55	0:105	28123	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_196812		Ум человеческий, сам собою, не будучи соединен с Господом, рассуждает по силе своей.	73:77	0:84	28105	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_112496		Поэтому, если А в силу ассоциации по сходству вызывает А1, то в сущности здесь имеет место лишь ассоциация по смежности: а-- b по смежности вызывает k.	18:22	0:151	28107	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_168416		Молодость, изобильная силами души и крепостию тела, делает человека в это время жизни к тому способнейшим.	22:28	0:106	28124	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_31691		С утра, как правило, палит солнце, скапливается безветренная духота, но часам к двум дня неизвестно откуда возникают тучи-- и начинается разгул молний, грома, сила которого бывает такова, что кажется, будто тебя контузили.	159:163	0:222	28119	sem_cluster	ru	ek.gavrishina
сила	NN	example	22	22_сила_179939		Приехал Растопчин и с ним штац-секретарь Шишков, прочли указ о необходимости вооружения, о превосходстве сил неприятеля разнодержавными войсками.	105:108	0:145	28113	sem_cluster	ru	ek.gavrishina
