identifier1	identifier2	annotator	judgment	comment	lemma
29535	29534	georg_lonsh	3	comment	человек
29535	29531	raskolrus	4	comment	человек
29535	29531	georg_lonsh	4	comment	человек
29535	29539	georg_lonsh	3	comment	человек
29535	29553	raskolrus	3	comment	человек
29535	29556	erykov1234	2	comment	человек
29535	29524	raskolrus	3	comment	человек
29535	29534	erykov1234	1	comment	человек
29535	29547	georg_lonsh	4	comment	человек
29537	29525	erykov1234	4	comment	человек
29537	29526	erykov1234	3	comment	человек
29537	29525	raskolrus	4	comment	человек
29532	29536	raskolrus	2	comment	человек
29532	29523	raskolrus	2	comment	человек
29532	29534	raskolrus	2	comment	человек
29532	29552	raskolrus	2	comment	человек
29532	29550	erykov1234	2	comment	человек
29532	29536	georg_lonsh	3	comment	человек
29532	29547	raskolrus	2	comment	человек
29532	29552	erykov1234	4	comment	человек
29532	29551	raskolrus	2	comment	человек
29555	29556	raskolrus	3	comment	человек
29555	29548	georg_lonsh	3	comment	человек
29555	29529	erykov1234	4	comment	человек
29555	29537	raskolrus	3	comment	человек
29550	29543	erykov1234	3	comment	человек
29550	29554	raskolrus	4	comment	человек
29550	29528	erykov1234	2	comment	человек
29550	29534	erykov1234	2	comment	человек
29554	29545	erykov1234	3	comment	человек
29554	29525	raskolrus	4	comment	человек
29554	29534	erykov1234	1	comment	человек
29554	29530	erykov1234	3	comment	человек
29556	29557	georg_lonsh	4	comment	человек
29556	29542	erykov1234	3	comment	человек
29556	29541	georg_lonsh	4	comment	человек
29556	29552	georg_lonsh	4	comment	человек
29556	29553	raskolrus	4	comment	человек
29556	29540	erykov1234	3	comment	человек
29556	29539	raskolrus	3	comment	человек
29556	29533	erykov1234	4	comment	человек
29556	29529	erykov1234	1	comment	человек
29557	29539	raskolrus	3	comment	человек
29557	29538	georg_lonsh	4	comment	человек
29557	29555	georg_lonsh	3	comment	человек
29557	29554	georg_lonsh	3	comment	человек
29557	29536	erykov1234	2	comment	человек
29545	29551	georg_lonsh	3	comment	человек
29545	29525	georg_lonsh	4	comment	человек
29545	29539	raskolrus	3	comment	человек
29545	29539	erykov1234	2	comment	человек
29545	29549	erykov1234	3	comment	человек
29545	29536	erykov1234	2	comment	человек
29549	29545	georg_lonsh	4	comment	человек
29549	29544	georg_lonsh	4	comment	человек
29549	29542	erykov1234	3	comment	человек
29549	29531	georg_lonsh	4	comment	человек
29549	29537	georg_lonsh	4	comment	человек
29549	29541	raskolrus	3	comment	человек
29530	29532	erykov1234	2	comment	человек
29530	29549	raskolrus	3	comment	человек
29530	29527	georg_lonsh	4	comment	человек
29536	29543	georg_lonsh	4	comment	человек
29536	29544	raskolrus	4	comment	человек
29536	29526	erykov1234	4	comment	человек
29536	29552	erykov1234	1	comment	человек
29536	29533	raskolrus	3	comment	человек
29536	29542	raskolrus	3	comment	человек
29548	29529	erykov1234	4	comment	человек
29548	29550	erykov1234	2	comment	человек
29548	29539	erykov1234	4	comment	человек
29548	29551	raskolrus	4	comment	человек
29548	29547	georg_lonsh	4	comment	человек
29548	29557	erykov1234	3	comment	человек
29542	29530	erykov1234	3	comment	человек
29542	29551	georg_lonsh	3	comment	человек
29542	29548	raskolrus	4	comment	человек
29542	29551	erykov1234	4	comment	человек
29542	29533	erykov1234	4	comment	человек
29542	29532	raskolrus	2	comment	человек
29542	29547	erykov1234	4	comment	человек
29551	29533	georg_lonsh	3	comment	человек
29551	29526	erykov1234	2	comment	человек
29551	29530	georg_lonsh	3	comment	человек
29551	29528	raskolrus	4	comment	человек
29551	29538	raskolrus	3	comment	человек
29551	29525	raskolrus	2	comment	человек
29551	29536	georg_lonsh	3	comment	человек
29525	29541	raskolrus	4	comment	человек
29525	29541	georg_lonsh	4	comment	человек
29525	29533	raskolrus	4	comment	человек
29525	29543	raskolrus	4	comment	человек
29528	29540	georg_lonsh	4	comment	человек
29528	29546	raskolrus	3	comment	человек
29528	29531	erykov1234	2	comment	человек
29547	29523	raskolrus	3	comment	человек
29547	29531	raskolrus	3	comment	человек
29547	29549	georg_lonsh	4	comment	человек
29539	29537	georg_lonsh	3	comment	человек
29539	29526	georg_lonsh	3	comment	человек
29539	29541	raskolrus	4	comment	человек
29534	29549	erykov1234	3	comment	человек
29534	29528	georg_lonsh	4	comment	человек
29534	29523	erykov1234	1	comment	человек
29534	29544	erykov1234	4	comment	человек
29534	29540	erykov1234	1	comment	человек
29534	29527	raskolrus	4	comment	человек
29538	29540	raskolrus	4	comment	человек
29538	29529	georg_lonsh	4	comment	человек
29538	29539	raskolrus	3	comment	человек
29538	29556	georg_lonsh	4	comment	человек
29538	29553	raskolrus	4	comment	человек
29543	29548	raskolrus	3	comment	человек
29543	29548	erykov1234	0	comment	человек
29543	29541	erykov1234	4	comment	человек
29543	29539	erykov1234	3	comment	человек
29543	29555	erykov1234	3	comment	человек
29543	29535	raskolrus	4	comment	человек
29540	29531	erykov1234	4	comment	человек
29540	29543	erykov1234	4	comment	человек
29540	29552	georg_lonsh	4	comment	человек
29540	29544	raskolrus	4	comment	человек
29540	29531	georg_lonsh	4	comment	человек
29540	29533	georg_lonsh	4	comment	человек
29531	29553	erykov1234	3	comment	человек
29526	29523	erykov1234	3	comment	человек
29526	29535	georg_lonsh	4	comment	человек
29526	29530	erykov1234	4	comment	человек
29526	29525	raskolrus	4	comment	человек
29526	29553	georg_lonsh	4	comment	человек
29526	29544	raskolrus	4	comment	человек
29526	29523	georg_lonsh	4	comment	человек
29533	29528	georg_lonsh	4	comment	человек
29533	29551	raskolrus	4	comment	человек
29533	29541	georg_lonsh	4	comment	человек
29541	29549	erykov1234	4	comment	человек
29541	29540	georg_lonsh	4	comment	человек
29541	29553	georg_lonsh	4	comment	человек
29524	29543	georg_lonsh	4	comment	человек
29524	29529	raskolrus	4	comment	человек
29524	29545	erykov1234	3	comment	человек
29524	29525	erykov1234	3	comment	человек
29524	29538	raskolrus	3	comment	человек
29524	29534	erykov1234	4	comment	человек
29524	29526	raskolrus	3	comment	человек
29524	29549	georg_lonsh	4	comment	человек
29552	29527	erykov1234	1	comment	человек
29552	29557	erykov1234	3	comment	человек
29552	29529	erykov1234	4	comment	человек
29552	29528	raskolrus	4	comment	человек
29552	29541	georg_lonsh	4	comment	человек
29529	29532	raskolrus	2	comment	человек
29529	29547	raskolrus	4	comment	человек
29529	29551	raskolrus	4	comment	человек
29529	29533	georg_lonsh	4	comment	человек
29529	29556	raskolrus	3	comment	человек
29546	29547	georg_lonsh	4	comment	человек
29546	29549	georg_lonsh	4	comment	человек
29546	29543	raskolrus	3	comment	человек
29546	29550	erykov1234	3	comment	человек
29553	29549	raskolrus	4	comment	человек
29553	29541	raskolrus	3	comment	человек
29553	29523	georg_lonsh	4	comment	человек
29553	29550	georg_lonsh	4	comment	человек
29553	29537	georg_lonsh	4	comment	человек
29527	29526	georg_lonsh	4	comment	человек
29527	29534	erykov1234	2	comment	человек
29527	29547	georg_lonsh	4	comment	человек
29527	29556	georg_lonsh	4	comment	человек
29527	29537	georg_lonsh	4	comment	человек
29527	29524	raskolrus	3	comment	человек
29527	29525	erykov1234	3	comment	человек
29527	29523	georg_lonsh	4	comment	человек
