lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
лицо	NN	example	22	22_лицо_78183		Возможно, именно в этом году вы решите покончить со своим безалаберным прошлым и устроите наконец настоящую репетицию праздника с участием главных действующих лиц-- парикмахера и стилиста.	159:162	0:188	27947	sem_cluster	ru	ek.gavrishina
лицо	NN	example	22	22_лицо_173292		Можем быть уверены, что ему сочувствовали и прочие; реформа Уложения колебала самый принцип независимости и особенности церковного строя и подчиняла церковные лица и владения общегосударственному суду; мало того, она больно затрагивала хозяйственные интересы церковных землевладельцев.	159:163	0:285	27927	sem_cluster	ru	ek.gavrishina
лицо	NN	example	22	22_лицо_82365		наименование юридического лица(фамилию, имя, отчество индивидуального предпринимателя);	26:30	0:87	27940	sem_cluster	ru	ek.gavrishina
лицо	NN	example	22	22_лицо_193738		Я была уверена, что сейчас из-за атласного полога выглянет надменное, строгое лицо призрака-- с ввалившимися щеками, с горящими фосфорическим светом глазищами.	78:82	0:159	27958	sem_cluster	ru	ek.gavrishina
лицо	NN	example	22	22_лицо_155367		Бюрократическая Ставка, верная своей традиции«аполитичности», вернее беспринципности, в тот день, когда чернь терзала Верховного главнокомандующего, в лице своих старших представителей приветствовала нового главковерха!..	151:155	0:221	27929	sem_cluster	ru	ek.gavrishina
лицо	NN	example	22	22_лицо_57590		А-а, зачем я тебе все это говорю!-- безнадежно махнул рукой Александр Евгеньевич, но ее вид, и ее лицо, и что-то еще, то, чего нельзя назвать словами, то, что не имело имени, снова вставшее между ними, как бы подстегнуло его, он понял, что это последняя и единственная возможность вернуть ее.	98:102	0:292	27938	sem_cluster	ru	ek.gavrishina
лицо	NN	example	22	22_лицо_119016		Из разговора оказалось, что один из них-- бывший Весьегонский брандмейстер, уволенный, здорово живешь, большевиками или, точнее, лицами, хозяйничающими там под фирмою большевизма; в конце концов ему дали компенсацию в виде должности письмоводителя при Сандовском отряде милиции.	129:135	0:278	27928	sem_cluster	ru	ek.gavrishina
лицо	NN	example	22	22_лицо_103392		Каким-то краем он увидел, что мать было возмутилась, но сразу же испугалась, хотя и продолжала говорить как бы все тем же тоном, так же громко, но все равно, это уже был скорее лепет; она с испугом вглядывалась в его лицо.	217:221	0:222	27950	sem_cluster	ru	ek.gavrishina
лицо	NN	example	22	22_лицо_177086		Лицо его было пристроено так, что всегда было несколько поднято вверх и казалось положенным на небольшой аналой.	0:4	0:112	27951	sem_cluster	ru	ek.gavrishina
лицо	NN	example	22	22_лицо_166972		Мы впервые слышим человеческие голоса, видим гнев и радость на человеческих лицах, знаем, как смешны иногда они бывают: и все-таки любим их, потому что чувствуем, что они люди и, следовательно, братья нам.	76:81	0:205	27936	sem_cluster	ru	ek.gavrishina
лицо	NN	example	22	22_лицо_260165		На торгах участвовали лица с громкими коммерческими именами: Ненюков, Воронин, Бенардаки и некоторые другие...	22:26	0:110	27926	sem_cluster	ru	ek.gavrishina
лицо	NN	example	22	22_лицо_247952		«При самом тщательном взгляды вании в лицо своей повелительницы она никак не могла отгадать, вследствие каких именно потребностей барыня дрягает головой и даже стонет.	38:42	0:167	27932	sem_cluster	ru	ek.gavrishina
лицо	NN	example	22	22_лицо_53691		Человек беззащитен-- но сама система была так же беззащитна передо мной, одним из ее доверенных лиц.	96:99	0:100	27959	sem_cluster	ru	ek.gavrishina
