lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
тысяча	NN	example	22	22_тысяча_84374		Атаман Драный был разбит и убит в битве на реке Горе бригадиром Шидловским; тысяча пятьсот запорожцев, помогавших Драному, сдались, и все были истреблены.	76:82	0:154	28204	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_6377		А полный Дворец спорта вмещает 12 тысяч зрителей.	34:39	0:49	28173	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_54023		Сейчас в парке Московского метрополитена около 5 тыс. вагонов, которые многие годы поставлял городу мытищинский«Метровагонмаш»(входит в Трансмашхолдинг).	49:52	0:153	28194	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_60018		Но тогда шли десятки,-- ну, сотни тысяч.	34:39	0:40	28195	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_41147		Отправляя на костры и пытки тысячи ни в чем не повинных людей, они были уверены в том, что и в самом деле борются с«кознями дьявола».	28:34	0:133	28197	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_48215		Приличной считалась та, в которой можно заработать три тысячи рублей.	55:61	0:69	28172	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_56205		1 февраля в Москве завершились одиннадцатые международные Рождественские образовательные чтения, в ходе которых около десяти тысяч участников из разных уголков страны и ближнего зарубежья священнослужители, деятели образования и культуры-- обменивались опытом и обсуждали педагогические проблемы.	125:130	0:296	28182	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_39913		Размер падавшего тела оценивается величиной 18–20 м, вес— около 10 тыс. т.	67:70	0:74	28185	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_96757		Это все богатыри и силачи от постоянного упражнения силы мышц, это все отдельный промысел, которым питаются десятки тысяч людей русских.	116:121	0:136	28193	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_52084		По официальным данным, тогда погибли или пропали без вести более 87 тысяч человек.	68:73	0:82	28170	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_9318		Если б не упустили время, могли бы успеть сделать около тысячи машин.	56:62	0:69	28179	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_90136		Молва людская на другой день превращает их в двести тысяч...	52:57	0:60	28188	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_73377		Как грибы росли партийные клубы, которые посещались тысячами рабочих и солдат.	52:60	0:78	28178	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_57380		Платить по 2-3 тысячи баксов за год учебы в приличном госвузе смогут далеко не все, вот и придется небогатым ребятам искать места подешевле.	15:21	0:140	28200	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_93894		Я переселился к ним-- и потомок знаменитых Халявских, наследник по крайности двухсот пятидесяти дворов-- что все равно, тысячи душ-- должен быть и жить на иждивении секретаря Горба-Маявецкого.	120:126	0:192	28180	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_85867		И начнут поминать христолюбца наследники: сгромоздят колокольню в семь ярусов, выльют в тысячу пудов колокол, чтобы до третиего небеси слышно было, как тот колокол будет вызванивать из ада душу христолюбца-мошенника.	88:94	0:216	28186	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_62216		На улицу было выброшено свыше 100 тысяч рабочих.	34:39	0:48	28187	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_78189		-- Да, она ремонтируется,-- сказал отец, когда они прошли все чередом, шумя и толкаясь, в столовую, по уже известному, но еще неизведанному коридору, в который надо будет еще наведаться завтра, когда она разложит тетрадки, повесит за ушко свою умывальную перчатку и, словом, покончит с этой тысячей дел.	291:298	0:303	28184	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_72141		Тысячи подробностей войны, из которых каждая могла бы составить общеевропейское ужасающее событие, если бы случилась в отдельности, в мирное время.	0:6	0:147	28175	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_77339		Но он знал и то, что в этих канцеляриях собраны и наклеены тысячи статей, в которые никто никогда не заглядывает, которые не нужны даже будущему историку.	59:65	0:154	28171	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_76793		Несколько остыв от надежд, с какими пробирался к столу, я двинулся вверх, в буфет, где мог за последнюю свою тысячу вылить стакан чая с куском хлеба.	109:115	0:149	28190	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_91639		Я вдруг почувствовал, что страшно сейчас пойду рисковать; кроме того, мне хотелось еще что-нибудь предпринять, предложить еще какое-нибудь пари, отсчитать кому-нибудь несколько тысяч.	177:182	0:183	28192	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_71069		Тысячи членов ОДР проходят техническую грамоту не только на курсах, но и в групповой, индивидуальной практике.	0:6	0:110	28201	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_76876		Я мысленно подсчитал остатки сумм, которыми мог располагать и которые ждал от Лерха: около четырех тысяч.	99:104	0:105	28181	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_8080		И, кроме того, я разрабатываю новый вариант, а это-- тысяча четыреста деталей и двенадцать тысяч размеров, увязанных между собой.	53:59	0:129	28189	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_21378		Кстати, очень выгодным оказался и открытый в 2002 году рейс по маршруту«Самара-Душанбе», которым за прошедшее время воспользовалось около 7 тыс. человек.	140:143	0:153	28203	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_39979		Разработанные в ЛФТИ устройства свели к нулю потери ВМФ, обеспечили его боеспособность, сохранили сотни кораблей и многие тысячи человеческих жизней.	122:128	0:149	28202	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_53977		Британская букмекерская компания Ladbrokes разыскивает человека, поставившего накануне парламентских выборов 47 тысяч долларов на победу Консервативной партии.	112:117	0:159	28176	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_99694		В Шенкурском уезде по минувшей четвертой ревизии в тысячи ста шестидесяти-двух дворах имеется казенного ведомства крестьян дворцовых: мужеска-- 18,420, женска-- 18,826; экономические: мужеска-- 1,091, женска-- 1,154; черносошных: мужеска-- 738, женска-- 706; итого мужеска-- 20,249, женска-- 20,746, а обоего мужеска и женска пола-- 40,995 душ.	51:57	0:344	28191	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_10442		Но рано или поздно детишки-внуки выставят картину на аукцион, непременно выставят, ведь к тому времени(когда не только вдовица-адвокатица в мир иной укатится, а я и сам уже буду тереть негасимые краски из пигментов райского сада),-- к тому времени Фальк поднимется в цене на сотни тысяч веселых евриков, и уж это будет подлинный Фальк с натуральной историей.	281:286	0:358	28174	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_42632		Экономический эффект от применения одной системы-- около 20 тыс. руб. в год.	60:63	0:76	28198	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_47430		наказываются штрафом в размере до сорока тысяч рублей или в размере заработной платы или иного дохода осужденного за период до трех месяцев, либо обязательными работами на срок от ста до ста восьмидесяти часов, либо исправительными работами на срок до одного года, либо арестом на срок до трех месяцев, либо лишением свободы на срок до двух лет.	41:46	0:345	28196	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_66651		Кругом-- несколько тысяч голов,-- лица нахмурены, лбы наморщены, рты сжаты.	19:24	0:75	28183	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_3487		Этот особняк стоил два с половиной миллиона фунтов, и я, поддавшись давлению, внес девяносто тысяч фунтов аванса, которые потом так и пропали...	93:98	0:144	28199	sem_cluster	ru	ek.gavrishina
тысяча	NN	example	22	22_тысяча_59418		Он насмешливо указал Эдуарду на одну из кают и мысленно поздравил себя с получением ста тысяч долларов.	88:93	0:103	28177	sem_cluster	ru	ek.gavrishina
