identifier1	identifier2	annotator	judgment	comment	lemma
27832	27827	raskolrus	4	comment	город
27832	27852	erykov1234	4	comment	город
27832	27844	erykov1234	4	comment	город
27832	27828	raskolrus	4	comment	город
27832	27823	georg_lonsh	4	comment	город
27832	27830	erykov1234	4	comment	город
27832	27847	erykov1234	1	comment	город
27832	27849	georg_lonsh	4	comment	город
27844	27835	georg_lonsh	0	comment	город
27844	27827	raskolrus	4	comment	город
27844	27851	erykov1234	4	comment	город
27844	27836	erykov1234	4	comment	город
27844	27823	georg_lonsh	4	comment	город
27844	27837	raskolrus	4	comment	город
27844	27836	georg_lonsh	4	comment	город
27844	27853	georg_lonsh	0	comment	город
27844	27846	raskolrus	4	comment	город
27852	27840	erykov1234	3	comment	город
27852	27823	raskolrus	4	comment	город
27852	27835	raskolrus	3	comment	город
27852	27846	raskolrus	3	comment	город
27852	27827	georg_lonsh	4	comment	город
27852	27828	erykov1234	4	comment	город
27852	27832	georg_lonsh	0	comment	город
27852	27831	erykov1234	4	comment	город
27852	27841	erykov1234	4	comment	город
27852	27831	georg_lonsh	4	comment	город
27846	27828	georg_lonsh	4	comment	город
27846	27841	raskolrus	4	comment	город
27846	27840	erykov1234	4	comment	город
27821	27834	erykov1234	4	comment	город
27821	27833	erykov1234	3	comment	город
27821	27846	raskolrus	4	comment	город
27821	27820	georg_lonsh	4	comment	город
27821	27842	georg_lonsh	0	comment	город
27821	27852	raskolrus	4	comment	город
27848	27845	raskolrus	3	comment	город
27848	27851	erykov1234	4	comment	город
27848	27834	georg_lonsh	4	comment	город
27848	27847	erykov1234	2	comment	город
27848	27833	raskolrus	4	comment	город
27848	27840	erykov1234	3	comment	город
27848	27832	georg_lonsh	4	comment	город
27838	27828	erykov1234	4	comment	город
27838	27833	raskolrus	3	comment	город
27838	27843	raskolrus	3	comment	город
27838	27842	georg_lonsh	0	comment	город
27838	27827	raskolrus	4	comment	город
27838	27854	raskolrus	3	comment	город
27838	27848	raskolrus	4	comment	город
27838	27832	erykov1234	4	comment	город
27838	27847	georg_lonsh	0	comment	город
27838	27840	georg_lonsh	4	comment	город
27838	27837	georg_lonsh	4	comment	город
27838	27848	georg_lonsh	4	comment	город
27838	27825	erykov1234	4	comment	город
27838	27848	erykov1234	4	comment	город
27838	27850	erykov1234	4	comment	город
27845	27844	erykov1234	4	comment	город
27845	27832	erykov1234	4	comment	город
27845	27826	georg_lonsh	4	comment	город
27845	27851	raskolrus	0	comment	город
27845	27836	georg_lonsh	4	comment	город
27845	27821	erykov1234	4	comment	город
27845	27846	erykov1234	4	comment	город
27845	27823	georg_lonsh	0	comment	город
27845	27853	erykov1234	4	comment	город
27845	27829	erykov1234	1	comment	город
27845	27826	erykov1234	4	comment	город
27845	27846	georg_lonsh	4	comment	город
27845	27842	erykov1234	0	comment	город
27845	27842	raskolrus	0	comment	город
27845	27840	erykov1234	4	comment	город
27835	27849	georg_lonsh	4	comment	город
27835	27841	erykov1234	2	comment	город
27835	27821	georg_lonsh	4	comment	город
27835	27832	georg_lonsh	0	comment	город
27835	27845	erykov1234	4	comment	город
27835	27842	georg_lonsh	0	comment	город
27835	27854	erykov1234	3	comment	город
27835	27829	raskolrus	0	comment	город
27835	27830	raskolrus	4	comment	город
27835	27844	erykov1234	3	comment	город
27822	27834	raskolrus	4	comment	город
27822	27836	raskolrus	4	comment	город
