identifier1	identifier2	annotator	judgment	comment	lemma
27802	27797	erykov1234	4	comment	год
27802	27799	raskolrus	3	comment	год
27802	27785	raskolrus	3	comment	год
27802	27792	georg_lonsh	0	comment	год
27802	27791	georg_lonsh	4	comment	год
27802	27805	georg_lonsh	3	comment	год
27802	27793	erykov1234	4	comment	год
27802	27812	georg_lonsh	4	comment	год
27813	27810	raskolrus	3	comment	год
27813	27790	raskolrus	3	comment	год
27796	27805	georg_lonsh	0	comment	год
27796	27792	raskolrus	2	comment	год
27796	27785	erykov1234	1	comment	год
27796	27806	raskolrus	2	comment	год
27796	27813	raskolrus	2	comment	год
27796	27807	raskolrus	2	comment	год
27796	27810	georg_lonsh	3	comment	год
27796	27803	erykov1234	1	comment	год
27817	27807	erykov1234	4	comment	год
27817	27794	georg_lonsh	0	comment	год
27817	27802	erykov1234	4	comment	год
27817	27798	raskolrus	3	comment	год
27817	27792	raskolrus	2	comment	год
27817	27803	erykov1234	1	comment	год
27805	27787	erykov1234	1	comment	год
27805	27819	georg_lonsh	3	comment	год
27805	27790	erykov1234	1	comment	год
27805	27796	raskolrus	0	comment	год
27805	27791	raskolrus	3	comment	год
27805	27810	erykov1234	4	comment	год
27805	27801	georg_lonsh	3	comment	год
27819	27797	erykov1234	4	comment	год
27819	27785	erykov1234	1	comment	год
27819	27816	raskolrus	0	comment	год
27819	27811	raskolrus	3	comment	год
27819	27797	georg_lonsh	0	comment	год
27819	27817	erykov1234	4	comment	год
27816	27791	georg_lonsh	0	comment	год
27816	27803	erykov1234	0	comment	год
27816	27814	erykov1234	0	comment	год
27816	27811	georg_lonsh	0	comment	год
27816	27818	raskolrus	0	comment	год
27816	27807	georg_lonsh	0	comment	год
27816	27802	georg_lonsh	0	comment	год
27816	27801	georg_lonsh	0	comment	год
27816	27797	erykov1234	0	comment	год
27816	27802	erykov1234	0	comment	год
27816	27791	erykov1234	0	comment	год
27816	27814	raskolrus	0	comment	год
27812	27789	erykov1234	4	comment	год
27812	27791	raskolrus	4	comment	год
27812	27794	erykov1234	1	comment	год
27812	27818	raskolrus	4	comment	год
27812	27818	georg_lonsh	4	comment	год
27812	27796	georg_lonsh	0	comment	год
27812	27813	erykov1234	1	comment	год
