identifier1	identifier2	annotator	judgment	comment	lemma
28204	28194	erykov1234	4	comment	тысяча
28204	28187	raskolrus	2	comment	тысяча
28204	28193	erykov1234	2	comment	тысяча
28173	28199	georg_lonsh	4	comment	тысяча
28173	28200	erykov1234	4	comment	тысяча
28173	28191	erykov1234	3	comment	тысяча
28173	28200	georg_lonsh	4	comment	тысяча
28173	28203	erykov1234	4	comment	тысяча
28173	28177	raskolrus	4	comment	тысяча
28173	28185	raskolrus	4	comment	тысяча
28173	28190	raskolrus	2	comment	тысяча
28173	28198	erykov1234	4	comment	тысяча
28194	28172	georg_lonsh	4	comment	тысяча
28194	28203	raskolrus	4	comment	тысяча
28194	28183	raskolrus	3	comment	тысяча
28195	28183	georg_lonsh	4	comment	тысяча
28195	28170	erykov1234	3	comment	тысяча
28195	28178	georg_lonsh	4	comment	тысяча
28195	28197	raskolrus	3	comment	тысяча
28195	28171	georg_lonsh	4	comment	тысяча
28195	28188	erykov1234	3	comment	тысяча
28195	28179	erykov1234	2	comment	тысяча
28195	28199	erykov1234	2	comment	тысяча
28197	28196	georg_lonsh	3	comment	тысяча
28197	28176	raskolrus	2	comment	тысяча
28197	28204	erykov1234	1	comment	тысяча
28197	28194	raskolrus	2	comment	тысяча
28197	28180	raskolrus	3	comment	тысяча
28197	28184	raskolrus	4	comment	тысяча
28197	28183	raskolrus	3	comment	тысяча
28197	28175	georg_lonsh	3	comment	тысяча
28172	28185	georg_lonsh	4	comment	тысяча
28172	28174	erykov1234	3	comment	тысяча
28172	28178	raskolrus	2	comment	тысяча
28172	28180	erykov1234	2	comment	тысяча
28182	28203	georg_lonsh	4	comment	тысяча
28182	28186	raskolrus	3	comment	тысяча
28182	28185	georg_lonsh	4	comment	тысяча
28182	28175	georg_lonsh	2	comment	тысяча
28185	28190	georg_lonsh	3	comment	тысяча
28185	28191	raskolrus	4	comment	тысяча
28185	28204	erykov1234	3	comment	тысяча
28185	28193	erykov1234	2	comment	тысяча
28185	28186	raskolrus	2	comment	тысяча
28185	28177	raskolrus	4	comment	тысяча
28185	28176	erykov1234	4	comment	тысяча
28185	28180	georg_lonsh	4	comment	тысяча
28193	28179	raskolrus	3	comment	тысяча
28193	28197	erykov1234	3	comment	тысяча
28193	28198	georg_lonsh	4	comment	тысяча
28170	28171	georg_lonsh	4	comment	тысяча
28170	28200	erykov1234	4	comment	тысяча
28170	28179	georg_lonsh	4	comment	тысяча
28179	28181	raskolrus	4	comment	тысяча
28179	28173	georg_lonsh	4	comment	тысяча
28179	28198	georg_lonsh	4	comment	тысяча
28179	28196	raskolrus	4	comment	тысяча
28179	28186	raskolrus	3	comment	тысяча
28179	28188	georg_lonsh	4	comment	тысяча
28179	28180	raskolrus	3	comment	тысяча
28179	28177	erykov1234	3	comment	тысяча
28179	28196	georg_lonsh	4	comment	тысяча
28179	28195	georg_lonsh	4	comment	тысяча
28179	28195	raskolrus	4	comment	тысяча
28179	28189	georg_lonsh	4	comment	тысяча
28179	28196	erykov1234	4	comment	тысяча
28188	28201	georg_lonsh	4	comment	тысяча
28188	28181	georg_lonsh	4	comment	тысяча
28178	28203	georg_lonsh	3	comment	тысяча
28178	28181	raskolrus	2	comment	тысяча
28178	28198	erykov1234	2	comment	тысяча
28178	28193	raskolrus	4	comment	тысяча
28178	28201	erykov1234	4	comment	тысяча
28178	28200	georg_lonsh	4	comment	тысяча
28200	28174	erykov1234	3	comment	тысяча
28200	28201	georg_lonsh	4	comment	тысяча
28200	28195	georg_lonsh	3	comment	тысяча
28200	28182	raskolrus	4	comment	тысяча
28200	28202	raskolrus	2	comment	тысяча
28200	28195	erykov1234	2	comment	тысяча
28200	28190	raskolrus	3	comment	тысяча
28180	28199	raskolrus	3	comment	тысяча
28180	28173	raskolrus	3	comment	тысяча
28180	28196	georg_lonsh	3	comment	тысяча
28180	28195	georg_lonsh	4	comment	тысяча
28180	28174	raskolrus	2	comment	тысяча
28186	28189	raskolrus	3	comment	тысяча
28186	28194	erykov1234	4	comment	тысяча
28186	28178	raskolrus	3	comment	тысяча
28186	28198	georg_lonsh	3	comment	тысяча
28186	28200	georg_lonsh	4	comment	тысяча
28186	28193	georg_lonsh	4	comment	тысяча
28186	28196	erykov1234	2	comment	тысяча
28186	28190	georg_lonsh	3	comment	тысяча
28186	28178	erykov1234	2	comment	тысяча
28186	28184	georg_lonsh	2	comment	тысяча
28187	28177	raskolrus	4	comment	тысяча
28187	28203	georg_lonsh	4	comment	тысяча
28184	28173	raskolrus	2	comment	тысяча
28184	28179	erykov1234	1	comment	тысяча
28184	28178	erykov1234	3	comment	тысяча
28184	28180	georg_lonsh	4	comment	тысяча
28184	28185	georg_lonsh	2	comment	тысяча
28184	28172	erykov1234	1	comment	тысяча
28184	28203	raskolrus	2	comment	тысяча
28184	28177	georg_lonsh	2	comment	тысяча
28184	28171	erykov1234	4	comment	тысяча
28175	28177	erykov1234	1	comment	тысяча
28175	28189	georg_lonsh	2	comment	тысяча
28175	28178	erykov1234	4	comment	тысяча
28175	28180	erykov1234	3	comment	тысяча
28171	28202	georg_lonsh	4	comment	тысяча
28171	28200	erykov1234	1	comment	тысяча
28171	28202	raskolrus	4	comment	тысяча
28171	28185	raskolrus	3	comment	тысяча
28171	28178	erykov1234	4	comment	тысяча
28190	28184	raskolrus	2	comment	тысяча
28190	28178	erykov1234	1	comment	тысяча
28190	28180	georg_lonsh	3	comment	тысяча
28190	28188	raskolrus	2	comment	тысяча
28190	28170	erykov1234	1	comment	тысяча
28192	28190	erykov1234	4	comment	тысяча
28192	28191	erykov1234	3	comment	тысяча
28192	28175	raskolrus	2	comment	тысяча
28192	28202	georg_lonsh	3	comment	тысяча
28201	28181	raskolrus	3	comment	тысяча
28181	28189	erykov1234	4	comment	тысяча
28181	28191	raskolrus	4	comment	тысяча
28181	28193	erykov1234	1	comment	тысяча
28181	28180	erykov1234	3	comment	тысяча
28181	28186	raskolrus	3	comment	тысяча
28181	28175	erykov1234	1	comment	тысяча
28181	28175	georg_lonsh	2	comment	тысяча
28189	28178	georg_lonsh	4	comment	тысяча
28189	28193	raskolrus	3	comment	тысяча
28189	28183	raskolrus	3	comment	тысяча
28189	28181	georg_lonsh	4	comment	тысяча
28189	28201	erykov1234	2	comment	тысяча
28203	28193	georg_lonsh	4	comment	тысяча
28203	28195	raskolrus	3	comment	тысяча
28203	28182	raskolrus	4	comment	тысяча
28203	28176	raskolrus	4	comment	тысяча
28203	28175	erykov1234	1	comment	тысяча
28202	28204	erykov1234	1	comment	тысяча
28202	28198	georg_lonsh	4	comment	тысяча
28202	28182	erykov1234	1	comment	тысяча
28176	28171	raskolrus	2	comment	тысяча
28176	28180	erykov1234	4	comment	тысяча
28176	28202	erykov1234	2	comment	тысяча
28191	28204	raskolrus	4	comment	тысяча
28191	28189	raskolrus	4	comment	тысяча
28191	28187	georg_lonsh	4	comment	тысяча
28191	28184	georg_lonsh	2	comment	тысяча
28191	28179	georg_lonsh	4	comment	тысяча
28191	28182	raskolrus	4	comment	тысяча
28174	28204	georg_lonsh	4	comment	тысяча
28174	28192	raskolrus	3	comment	тысяча
28174	28196	erykov1234	4	comment	тысяча
28198	28203	erykov1234	4	comment	тысяча
28198	28184	raskolrus	2	comment	тысяча
28198	28190	raskolrus	2	comment	тысяча
28198	28175	raskolrus	2	comment	тысяча
28196	28192	georg_lonsh	3	comment	тысяча
28196	28202	georg_lonsh	3	comment	тысяча
28183	28199	erykov1234	3	comment	тысяча
28183	28172	erykov1234	3	comment	тысяча
28183	28187	erykov1234	4	comment	тысяча
28183	28189	georg_lonsh	4	comment	тысяча
28183	28200	erykov1234	4	comment	тысяча
28183	28194	erykov1234	3	comment	тысяча
28199	28198	georg_lonsh	4	comment	тысяча
28199	28175	erykov1234	1	comment	тысяча
28199	28179	erykov1234	3	comment	тысяча
28199	28190	georg_lonsh	3	comment	тысяча
28199	28191	raskolrus	4	comment	тысяча
28199	28190	erykov1234	1	comment	тысяча
28177	28174	georg_lonsh	4	comment	тысяча
28177	28172	raskolrus	4	comment	тысяча
28177	28175	georg_lonsh	2	comment	тысяча
28177	28171	erykov1234	2	comment	тысяча
28177	28185	erykov1234	3	comment	тысяча
28177	28170	raskolrus	4	comment	тысяча
