lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
рука	NN	example	22	22_рука_295261		Когда нужно было уходить, я напомнил Великим Князьям, что они должны хорошенько поблагодарить майора и дать ему руку, что они часто забывают делать.	112:116	0:148
рука	NN	example	22	22_рука_348398		Вы знаете, добрая моя, je me tue a demontrer, что Александр Ильич, хоть он и ума палата, и учен, и энергичен, без такой жены, как вы, не был бы тем, что он есть! N’est-ce pas, petit?-- спросила гостья сына и, не дожидаясь его ответа, опять прикоснулась рукой к плечу хозяйки.	253:258	0:275
рука	NN	example	22	22_рука_157600		Не пройдет и минуты, как я, пробежав мимо вечной лужи, войду в парадную, скроюсь в мягком свете моей, оживающей под руками квартиры,-- но эта мысль, прежде утешавшая меня, теперь не прибавляла сил.	116:122	0:197
рука	NN	example	22	22_рука_45691		Второй раз я видела его у Толстых на Старо-Невском, он не узнал меня, и А. Н. стал его расспрашивать, какая жена у Гумилева, и он показал руками, какая на мне была большая, шляпа.	138:144	0:179
рука	NN	example	22	22_рука_50634		Фридочка долго не выпускала ее из рук, читала без конца себе и другим, восхищалась, сама переписала ее на машинке и раздарила экземпляры друзьям; но однажды сказала мне:	34:37	0:169
рука	NN	example	22	22_рука_26126		Они совершенно забыли придать запущенный вид рукам своей жертвы, что не ускользнуло от опытного глаза моего коллеги.	45:50	0:116
рука	NN	example	22	22_рука_307746		И, вместе с этою мыслью, Бероева торопливо опустила руку в карман, достала носовой платок и села на постели.	52:56	0:108
рука	NN	example	22	22_рука_5065		Мы глядим в телевизор, по экрану бежит парень в майке и пуленепробиваемом жилете, повязанный дурацкой косынкой, с автоматом в детской худой руке.	140:144	0:145
рука	NN	example	22	22_рука_190857		Цепь в это время, заходя с флангов, сомкнулась и окружила пришельцев кольцом; воины стояли плечом к плечу с оружием в руках и вполголоса обменивались впечатлениями по поводу одежды, обуви, котомок, топоров за поясом и блестящих палок на спине чужеземцев.	118:123	0:254
рука	NN	example	22	22_рука_103539		Профессор вел под руку жену-- пышную, седую даму с бюстом навыкате, на котором покойно лежал маленький перламутровый бинокль на золотой цепочке.	18:22	0:144
рука	NN	example	22	22_рука_90914		Он вновь вскинул наган, Тухачевский вышиб оружие из его руки.	56:60	0:61
рука	NN	example	22	22_рука_225133		Он подошел к кровати и с полминуты мы оба держали в руках это историческое одеяло.	52:57	0:82
рука	NN	example	22	22_рука_221707		В пустой раме окна, на фоне двух новеньких фордов, стоял мистер Адамс, держа в руках дужку от очков.	79:84	0:100
рука	NN	example	22	22_рука_87115		И бился, и взмахивал обрубками рук,	31:34	0:35
рука	NN	example	22	22_рука_93698		Но, когда кончился обстрел и ни одного преследователя не оказалось в живых, он взял меня за руку и бережно подвел к тому песчаному обрыву, из которого шла пальба.	92:96	0:162
рука	NN	example	22	22_рука_97307		Временами он откладывал хлеб и масло, дышал на руки, а потом снова принимался за свое дело.	47:51	0:91
рука	NN	example	22	22_рука_15719		Он махал рукой в сторону окна.	9:14	0:30
рука	NN	example	22	22_рука_234042		В руках танцующих короткие деревянные палки.	2:7	0:44
рука	NN	example	22	22_рука_381607		Потерявъ изъ виду остальную партію, быстро разсѣявшуюся въ разныя стороны, негоціантъ упорно слѣдовалъ по стопамъ главнаго отряда, колотилъ всѣхъ, кто попадалъ подъ руку, и не переставалъ громко звать по имени сына и дочку; но послѣдніе, очевидно, не могли его слышать, такъ какъ, по примѣру предъидущаго раза, отвѣта на его зовъ не послѣдовало...	165:169	0:347
рука	NN	example	22	22_рука_50737		У нее был десятимесячный сын-- его вырвали у нее из рук при аресте...	52:55	0:69
рука	NN	example	22	22_рука_233294		Играющие становятся в круг, взявшись за руки.	40:44	0:45
рука	NN	example	22	22_рука_47202		Углом своего головного платка нянька вытирала рот, брала в руки кочергу и монотонно(без всяких просьб), как завороженная глядя в огонь, начинала бубнить:«В некоторым царстве, в некоторым государствии, жил да был царь Додон»…	59:63	0:224
рука	NN	example	22	22_рука_91787		Ну, вот прикройте их руками, прикройте!	21:27	0:39
рука	NN	example	22	22_рука_329395		На него не установишься своими зелеными буркалами, его не укусишь, как намеднись меня хватала за руку.	97:101	0:102
рука	NN	example	22	22_рука_260578		Ольга поднималась и падала назад, лежа на его руке, и кричала:«Тоня!	46:50	0:68
