lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
рука	NN	example	22	22_рука_381607		Потерявъ изъ виду остальную партію, быстро разсѣявшуюся въ разныя стороны, негоціантъ упорно слѣдовалъ по стопамъ главнаго отряда, колотилъ всѣхъ, кто попадалъ подъ руку, и не переставалъ громко звать по имени сына и дочку; но послѣдніе, очевидно, не могли его слышать, такъ какъ, по примѣру предъидущаго раза, отвѣта на его зовъ не послѣдовало...	165:169	0:347	28096	sem_cluster	ru	ek.gavrishina
рука	NN	example	22	22_рука_233294		Играющие становятся в круг, взявшись за руки.	40:44	0:45	28075	sem_cluster	ru	ek.gavrishina
рука	NN	example	22	22_рука_91787		Ну, вот прикройте их руками, прикройте!	21:27	0:39	28079	sem_cluster	ru	ek.gavrishina
рука	NN	example	22	22_рука_221707		В пустой раме окна, на фоне двух новеньких фордов, стоял мистер Адамс, держа в руках дужку от очков.	79:84	0:100	28081	sem_cluster	ru	ek.gavrishina
рука	NN	example	22	22_рука_93698		Но, когда кончился обстрел и ни одного преследователя не оказалось в живых, он взял меня за руку и бережно подвел к тому песчаному обрыву, из которого шла пальба.	92:96	0:162	28084	sem_cluster	ru	ek.gavrishina
рука	NN	example	22	22_рука_13370		Сел, взял в руки мою тетрадь, читает не отрываясь.	12:16	0:50	28082	sem_cluster	ru	ek.gavrishina
рука	NN	example	22	22_рука_100928		Вытянутые в струнку ноги ровесниц, порхающие детские руки, вскинутые подбородки, увлеченные глаза…	53:57	0:98	28087	sem_cluster	ru	ek.gavrishina
рука	NN	example	22	22_рука_50737		У нее был десятимесячный сын-- его вырвали у нее из рук при аресте...	52:55	0:69	28069	sem_cluster	ru	ek.gavrishina
рука	NN	example	22	22_рука_90914		Он вновь вскинул наган, Тухачевский вышиб оружие из его руки.	56:60	0:61	28068	sem_cluster	ru	ek.gavrishina
рука	NN	example	22	22_рука_157600		Не пройдет и минуты, как я, пробежав мимо вечной лужи, войду в парадную, скроюсь в мягком свете моей, оживающей под руками квартиры,-- но эта мысль, прежде утешавшая меня, теперь не прибавляла сил.	116:122	0:197	28095	sem_cluster	ru	ek.gavrishina
рука	NN	example	22	22_рука_103539		Профессор вел под руку жену-- пышную, седую даму с бюстом навыкате, на котором покойно лежал маленький перламутровый бинокль на золотой цепочке.	18:22	0:144	28097	sem_cluster	ru	ek.gavrishina
рука	NN	example	22	22_рука_141845		Вокруг Тынды на сотни километров-- отменный лес, отсюда по сибирским меркам«рукой подать» до выходящего почти на поверхность 80-метрового угольного пласта у Чульмана, до Удоканско-Чарской меди, до месторождений редких металлов, до железных руд на севере Амурской области и Хабаровского края.	76:81	0:291	28067	sem_cluster	ru	ek.gavrishina
рука	NN	example	22	22_рука_45691		Второй раз я видела его у Толстых на Старо-Невском, он не узнал меня, и А. Н. стал его расспрашивать, какая жена у Гумилева, и он показал руками, какая на мне была большая, шляпа.	138:144	0:179	28094	sem_cluster	ru	ek.gavrishina
рука	NN	example	22	22_рука_47202		Углом своего головного платка нянька вытирала рот, брала в руки кочергу и монотонно(без всяких просьб), как завороженная глядя в огонь, начинала бубнить:«В некоторым царстве, в некоторым государствии, жил да был царь Додон»…	59:63	0:224	28073	sem_cluster	ru	ek.gavrishina
рука	NN	example	22	22_рука_295261		Когда нужно было уходить, я напомнил Великим Князьям, что они должны хорошенько поблагодарить майора и дать ему руку, что они часто забывают делать.	112:116	0:148	28071	sem_cluster	ru	ek.gavrishina
