lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
результат	NN	example	22	22_результат_70170		Впрочемъ, я утѣшаю себя тѣмъ, что поѣздка моя въ Россію дастъ хорошіе денежные результаты, и я надѣюсь привезти домой довольно кругленькую сумму.	79:89	0:145	28350	sem_cluster	ru	ek.gavrishina
результат	NN	example	22	22_результат_35280		Начинались долгие пререкания с заранее известным результатом-- он состоял в том, что стороны договаривались спешиться одновременно.	49:60	0:131	28374	sem_cluster	ru	ek.gavrishina
результат	NN	example	22	22_результат_29038		При этом в результате ряда последовательных реакций возникали характерные вспышки гамма-квантов.	11:21	0:96	28375	sem_cluster	ru	ek.gavrishina
результат	NN	example	22	22_результат_73365		Оказалось, что его наблюдения дали тождественные результаты, и он весело проговорил:	49:59	0:84	28353	sem_cluster	ru	ek.gavrishina
результат	NN	example	22	22_результат_40113		Цунами-- это морские волны, возникающие при подводных и прибрежных землетрясениях в результате сдвига вверх или вниз протяженных участков морского дна.	84:94	0:151	28346	sem_cluster	ru	ek.gavrishina
результат	NN	example	22	22_результат_29953		Например, на некоторые инфекции я сдавала кровь и результаты отрицательные, а она говорит, что обязательно нужно проверить, взяв мазок.	50:60	0:135	28356	sem_cluster	ru	ek.gavrishina
результат	NN	example	22	22_результат_52876		Политические и военные успехи российского большевизма, итальянского фашизма и немецкого национал-социализма давали повод надеяться, что внесение их основных постулатов в стратегические концепции любой национальной идеи будут иметь позитивные результаты.	242:252	0:253	28372	sem_cluster	ru	ek.gavrishina
результат	NN	example	22	22_результат_16247		На предприятии создана деловая творческая атмосфера, когда каждый член коллектива заинтересован в результатах своего труда.	98:109	0:123	28362	sem_cluster	ru	ek.gavrishina
результат	NN	example	22	22_результат_9801		Вызвали меня, так сказать, к финалу,-- на заседание бюро секции прозы,-- оповестить о результатах проведенной по сигналу работы.	86:97	0:128	28377	sem_cluster	ru	ek.gavrishina
результат	NN	example	22	22_результат_32029		По сути, пользователь передает в экспертную систему факты или другую информацию и получает в качестве результата экспертный совет или экспертные знания.	102:112	0:152	28355	sem_cluster	ru	ek.gavrishina
результат	NN	example	22	22_результат_61333		Конкурс не дал ожидаемых результатов-- со стороны не пришли артисты, обладающие яркой индивидуальностью и могущие своим творчеством обогатить эстрадное искусство.	25:36	0:162	28376	sem_cluster	ru	ek.gavrishina
результат	NN	example	22	22_результат_46966		Не в чем упрекнуть-- результат спанья на лошадиной шкуре.	21:30	0:57	28347	sem_cluster	ru	ek.gavrishina
результат	NN	example	22	22_результат_9823		.На рынке в Пномпене несколько человек убито и много ранено в результате взрыва бомбы...	62:72	0:88	28371	sem_cluster	ru	ek.gavrishina
результат	NN	example	22	22_результат_47851		Получилось это в результате маминого заявления*.	17:27	0:48	28360	sem_cluster	ru	ek.gavrishina
результат	NN	example	22	22_результат_11136		Думаю, если бы она в свое время занялась каким-нибудь видом спорта, то достигла бы в нем таких же результатов, каких добилась в политике.	98:109	0:137	28361	sem_cluster	ru	ek.gavrishina
результат	NN	example	22	22_результат_31518		Суть ее заключается в следующем: пусть X1, X2,..., Xn— совокупность количественных показателей, характеризующих состояние выбранного объекта на данный момент времени t и результаты его деятельности за предшествующий период.	170:180	0:223	28345	sem_cluster	ru	ek.gavrishina
результат	NN	example	22	22_результат_17995		По результатам выполнения заданий все дети были разделены на две условные группы: одаренные и нормально развивающиеся.	3:14	0:118	28366	sem_cluster	ru	ek.gavrishina
результат	NN	example	22	22_результат_48832		Когда-то здесь была огромная гора, велись ударные разработки, в результате которых Подмосковье оказывалось полностью снабженным высокосортным песком.	64:74	0:149	28349	sem_cluster	ru	ek.gavrishina
