lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
слово	NN	example	22	22_слово_242180		Слова, сказанные государем в Кремле при возвратном его проезде из Ливадии в Петербург, всеми с восторгом повторялись.	0:5	0:117	27921	sem_cluster	ru	ek.gavrishina
слово	NN	example	22	22_слово_74731		Причем, по словам вице-президента ОАО«АВТОВАЗ» по маркетингу, сбыту и ТО автомобилей Владимира Кучая, в ближайшем будущем«их станет гораздо больше».	11:17	0:148	27908	sem_cluster	ru	ek.gavrishina
слово	NN	example	22	22_слово_321329		Ибо сами вы называете его крыжем: а крыж есть слово Польское, и то же значит, что икресто	46:51	0:89	27907	sem_cluster	ru	ek.gavrishina
слово	NN	example	22	22_слово_201401		Но новонайденный текст, так же как и лопарёвский, будучи слит с текстом жития Александра Невского, озаглавлен:«Житие блаженного великаго князя Александра Ярославича всея Русии Невского», без названия его вступительной части«Словом о погибели Рускыя земли».	224:230	0:256	27894	sem_cluster	ru	ek.gavrishina
слово	NN	example	22	22_слово_56833		Причем он даже не мог сформулировать, что именно-- пока не помог креативный доводчик, в котором Грым однажды долго гонял кубик текста, начавшийся со слов«цирк партийных гадов».	149:153	0:176	27909	sem_cluster	ru	ek.gavrishina
слово	NN	example	22	22_слово_100646		Всё дело в том, что слова«гомологический» и«гетерологический» не обладают точным смыслом, в презумпции какового происходит рассуждение.	20:25	0:135	27919	sem_cluster	ru	ek.gavrishina
слово	NN	example	22	22_слово_145995		Из всех полков в Петербург поступали листы от старшин, казаков, мещан и духовенства, содержавшие как слова благодарности, так и уверения в том, что за такие монаршие милости будут«верно служить, не щадя последней капли крови»13.	101:106	0:228	27893	sem_cluster	ru	ek.gavrishina
слово	NN	example	22	22_слово_315584		Впоследствии в комедиях Лессинга появилось больше жизни, действующие лица стали более типичными; но главный недостаток составляла бедность психологических мотивов, которые даже в комедии«Евреи» заменяются резонерством главного действующего лица: даже о чувствах его мы узнаем только из его слов, хотя и красноречивых, но годных лишь для памфлета.	290:294	0:346	27906	sem_cluster	ru	ek.gavrishina
слово	NN	example	22	22_слово_78262		В Новом Завете, в«Первом соборном послании святого апостола Иоанна Богослова» есть такие слова:«Кто имеет достаток в мире, но, видя брата своего в нужде, затворяет от него сердце свое,-- как пребывает в том любовь Божия?	71:76	0:220	27911	sem_cluster	ru	ek.gavrishina
слово	NN	example	22	22_слово_167108		И он особенно отчетливо выговорил слово«накопил».	34:39	0:49	27897	sem_cluster	ru	ek.gavrishina
слово	NN	example	22	22_слово_147990		При этом, по его словам, выходило, что зачастую местные власти палец о палец не бьют, чтобы реструктуризировать долги коммунальных контор.	17:23	0:138	27901	sem_cluster	ru	ek.gavrishina
слово	NN	example	22	22_слово_23666		Новые слова появляются, исчезают, к современному жаргону приходится привыкать, как к реалиям новой жизни, пуристом не надо быть-- неправильно и бесполезно.	6:11	0:155	27918	sem_cluster	ru	ek.gavrishina
слово	NN	example	22	22_слово_198812		Если нужно определение внушения в нескольких словах, то я должен повторить здесь то, что я сказал уже в первом издании своей брошюры--«Роль внушения в общественной жизни»(СПб., 1898 г.):	45:51	0:186	27917	sem_cluster	ru	ek.gavrishina
слово	NN	example	22	22_слово_45910		Обстановка уже достаточно накалилась, когда слово для ответа было предоставлено Бухарину.	44:49	0:89	27923	sem_cluster	ru	ek.gavrishina
слово	NN	example	22	22_слово_95335		Редкие слова: в случае, если в тексте есть редкие слова или слова и фразы в специфических значениях, включая идиоматические выражения и жаргонизмы, пользователям должен быть предоставлен механизм для их выявления а, лучше, объяснения.	7:12	0:234	27898	sem_cluster	ru	ek.gavrishina
слово	NN	example	22	22_слово_76059		В связи с этим разработчики законопроекта предусмотрели нормы по защите русского языка от употребления нецензурных слов и выражений, а также иностранных слов и словосочетаний при наличии соответствующих аналогов в русском языке.	115:119	0:228	27913	sem_cluster	ru	ek.gavrishina
слово	NN	example	22	22_слово_19607		Значит, еще четыреста страниц осталось ему, еще четыреста для нового романа, переписать от руки, нанизать наживо, ведь диктофонов, машинисток он не признает, это от лукавого все, четыреста страниц надо расположить как разрисовать, чтобы словам было вольготно и красиво,-- еще четыреста страниц текста, где фраза поеживается от изящества.	237:243	0:337	27891	sem_cluster	ru	ek.gavrishina
