lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
лицо	NN	example	22	22_лицо_173292		Можем быть уверены, что ему сочувствовали и прочие; реформа Уложения колебала самый принцип независимости и особенности церковного строя и подчиняла церковные лица и владения общегосударственному суду; мало того, она больно затрагивала хозяйственные интересы церковных землевладельцев.	159:163	0:285
лицо	NN	example	22	22_лицо_82365		наименование юридического лица(фамилию, имя, отчество индивидуального предпринимателя);	26:30	0:87
лицо	NN	example	22	22_лицо_119016		Из разговора оказалось, что один из них-- бывший Весьегонский брандмейстер, уволенный, здорово живешь, большевиками или, точнее, лицами, хозяйничающими там под фирмою большевизма; в конце концов ему дали компенсацию в виде должности письмоводителя при Сандовском отряде милиции.	129:135	0:278
лицо	NN	example	22	22_лицо_74392		Черты лица созданы из бесчисленного числа цветов, каждый из которых показан с натуралистической точностью.	6:10	0:106
лицо	NN	example	22	22_лицо_166972		Мы впервые слышим человеческие голоса, видим гнев и радость на человеческих лицах, знаем, как смешны иногда они бывают: и все-таки любим их, потому что чувствуем, что они люди и, следовательно, братья нам.	76:81	0:205
лицо	NN	example	22	22_лицо_57590		А-а, зачем я тебе все это говорю!-- безнадежно махнул рукой Александр Евгеньевич, но ее вид, и ее лицо, и что-то еще, то, чего нельзя назвать словами, то, что не имело имени, снова вставшее между ними, как бы подстегнуло его, он понял, что это последняя и единственная возможность вернуть ее.	98:102	0:292
лицо	NN	example	22	22_лицо_60742		Надо было слушать ее самое, видеть ее гневное лицо.	46:50	0:51
лицо	NN	example	22	22_лицо_54550		Но хотя повесть будет написана от первого лица, она, конечно, не автобиографична.	42:46	0:81
лицо	NN	example	22	22_лицо_158442		Градоначальник заинтересовался порядком выдачи справок и удовлетворения просьб лиц, обращающихся в канцелярию градоначальства, и с этой целью лично провел два часа в канцелярии во время приема публики.	79:82	0:201
лицо	NN	example	22	22_лицо_12569		Ведь у него был когда-то совсем другой облик, другое лицо.	53:57	0:58
лицо	NN	example	22	22_лицо_193738		Я была уверена, что сейчас из-за атласного полога выглянет надменное, строгое лицо призрака-- с ввалившимися щеками, с горящими фосфорическим светом глазищами.	78:82	0:159
лицо	NN	example	22	22_лицо_258805		На этот раз камора, в которую ввел меня Яков Петрович, заключала в себе лиц все чиновной породы.	72:75	0:96
лицо	NN	example	22	22_лицо_84309		А то кровища по всей… по всему лицу.	31:35	0:36
лицо	NN	example	22	22_лицо_165971		И почему лицо его показалось мне таким старым?	9:13	0:46
лицо	NN	example	22	22_лицо_155367		Бюрократическая Ставка, верная своей традиции«аполитичности», вернее беспринципности, в тот день, когда чернь терзала Верховного главнокомандующего, в лице своих старших представителей приветствовала нового главковерха!..	151:155	0:221
