lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
время	NN	example	22	22_время_198733		На основе этой схемы в настоящее время Росстат публикует показатели развития информационного общества на своем сайте.	33:38	0:117	28321	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_168131		ПЦР является практически единственным методом, реализующим прямую детекцию хантавирусов, в то время как большинство других методов могут лишь косвенно регистрировать наличие вируса в исследуемых образцах.	94:99	0:204	28331	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_539421		Одно время выражал он мне желание ввести меня в свой тесный домашний круг; но так как он жил в разводе с своею женою и его домашний быт олицетворяла собою личность, бывшая его любовницею и теперь еще находившаяся в двусмысленных к нему отношениях, то я счел неприличным отвечать согласием на подобное предложение.	5:10	0:313	28327	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_468987		Этот Ларош, наделенный от природы гениальным талантом и умом, но совершенно лишенный характера, силы воли, до того в последнее время опустился, что, встретив его в мае в Петербурге, я был в совершенном отчаянии за него.	127:132	0:219	28325	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_575012		Первая«игра песен», которую довелось наблюдать, были«вечерковые» или, по времени года, святочные.	73:80	0:97	28316	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_295949		Но к этому времени я, к счастью, был уже достаточно опытным юристом.	11:18	0:68	28338	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_104034		На кой черт ради сегодняшнего дня, ради нынешнего времени вставать-то?&quot;	50:57	0:76	28319	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_470634		Во время ужина, въ столовую вошелъ вѣрный мой Аѳанасьичъ.	3:8	0:57	28323	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_62059		Через какое-то время, наверное, лет через десять, мне удалось проездом побывать в Морозове.	15:20	0:91	28336	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_266980		Тогда, в первые времена воображаемого договора между Митей и государством, прообразом которого я, не без доли насмешки, называла Лаванову службу Иакова, эти разговоры носили предварительный, отчасти репетиционный характер.	16:23	0:222	28340	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_31378		Речь шла, как выяснилось, о женщине, которая уже некоторое время вела домашнее хозяйство в«квартире-музее».	59:64	0:107	28329	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_508502		...Сераковский был уже раненый вздернут на виселицу, часть молодых людей, бывших в то же время в Лондоне, вышла в отставку, рассеялась...	89:94	0:137	28330	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_203164		Но наши диспетчеры знают о подобных случайных отключениях, и есть специальная автоматика, которая пытается ввести отключенную линию через некоторое время: а вдруг заработает.	148:153	0:174	28342	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_247417		Впослѣдствіи, во время нѣмецкой оккупаціи части Россіи и открытія тамъ храмовъ для богослуженій, Ладоміровское Братство, уже подъ руководствомъ Архимандрита Серафима, смѣнившаго Архимандрита Виталія послѣ его архіерейскаго назначенія, организовало печатаніе и широкое снабженіе богослужебными книгами и миссіонерской литературой освободившейся отъ власти большевиковъ части Россіи.	17:22	0:381	28344	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_596482		И, действительно, он так устроил мать, что она, по крайней мере на время, была избавлена от нужды.	67:72	0:98	28318	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_139665		Рассказывая, он все время оглядывался по сторонам, словно опасаясь кого-то.	20:25	0:75	28313	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_583856		Во время последних европейских возмущений и всякого рода смут некоторые из злоумышленников старались особенно распустить в нашем дворянстве слух, будто правительство ищет обессилить их значение и довести их до ничтожества.	3:8	0:222	28339	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_509704		Дорогой мой Фет! я получил твое письмо, которое ты написал мне из Степановки, и в то же время Тургенев прочел мне твое письмо к нему.	88:93	0:133	28337	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_571016		Принимая во внимание, что окончательное совещание присяжных продолжалось, как видно из протокола, 35 минут, а процедура обсуждения ходатайства о постановке вопроса по 96 статье Уложения судом и присяжными заняла 2 часа и 10 минут, нельзя не признать, что совещание присяжных, занявшее некоторую часть этого времени, было именно тем преждевременным обсуждением имеющих последовать ответов, которое существенно нарушает законную хронологию судебного рассмотрения дела.	307:314	0:466	28322	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_507180		В это время отворилась дверь, вошла пани Мачоха и объявила с изумлением, что у ворот стучится какой-то бородатый татарин и требует непременно, чтобы его впустили к Богдане.	6:11	0:172	28317	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_203090		Тем временем на околоземной орбите становится все больше космических аппаратов.	46:49	0:79	28343	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_98466		И в то же время не хотел отпустить меня без того, чтобы не сказать хоть что-нибудь.	10:15	0:83	28326	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_426416		Мне было не более четырех лет и маме пришлось поэтому меня во время всего спектакля держать в стоячем положении на своих коленях-- иначе я бы ничего не увидал через головы сидевших перед нами.	62:67	0:192	28334	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_50617		А из Армении, где с начала IV века тоже существовала Церковь, не приехали, потому что в это время персы воевали с Константинополем, делили между собой Армянское царство,_-- словом по причинам чисто политическим армяне приехать не могли, их епископы на этом Соборе не были и в обсуждении богословских вопросов участия не принимали.	92:97	0:330	28335	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_406861		Лучшее же время-- начало августа или даже последняя треть июля месяцев упущены зря; а ведь тогда не только состояние погоды лучше, но и самые травы достигают своего полного расцвета, сочности и пышности.	10:15	0:203	28314	sem_cluster	ru	ek.gavrishina
время	NN	example	22	22_время_533593		Она осталась еще в Париже до конца сезона, в Вену не приехала, отправилась на свою родину, в прирейнский город Майнц, где я ее нашел уже летом во время Франко-прусской войны, а потом вскоре вышла замуж за этого самого поляка Н., о чем мне своевременно и написала, поселилась с ним в Вене, где я нашел ее в августе 1871 года, а позднее прошла через горькие испытания.	146:151	0:366	28328	sem_cluster	ru	ek.gavrishina
