identifier1	identifier2	annotator	judgment	comment	lemma
28011	28001	georg_lonsh	4	comment	жена
28011	28029	raskolrus	4	comment	жена
28011	28027	erykov1234	3	comment	жена
28011	28017	raskolrus	4	comment	жена
28011	28005	erykov1234	4	comment	жена
28011	28007	raskolrus	4	comment	жена
28011	28024	raskolrus	4	comment	жена
28011	28013	georg_lonsh	4	comment	жена
28011	28010	raskolrus	4	comment	жена
28015	28007	erykov1234	4	comment	жена
28015	28028	erykov1234	2	comment	жена
28015	28018	georg_lonsh	2	comment	жена
28015	28011	erykov1234	4	comment	жена
28015	28009	georg_lonsh	4	comment	жена
28015	27995	erykov1234	4	comment	жена
28015	28008	georg_lonsh	4	comment	жена
28003	27999	raskolrus	4	comment	жена
28003	27999	erykov1234	4	comment	жена
28003	28028	raskolrus	4	comment	жена
28003	28004	erykov1234	0	comment	жена
28003	28012	erykov1234	4	comment	жена
28003	28014	raskolrus	4	comment	жена
28003	28007	georg_lonsh	4	comment	жена
28003	28010	erykov1234	4	comment	жена
28003	28000	erykov1234	4	comment	жена
28023	28001	georg_lonsh	4	comment	жена
28023	28029	erykov1234	3	comment	жена
28023	27998	georg_lonsh	4	comment	жена
28027	28013	erykov1234	4	comment	жена
28027	28023	georg_lonsh	4	comment	жена
28027	28018	georg_lonsh	2	comment	жена
28027	27997	raskolrus	4	comment	жена
28027	28007	erykov1234	4	comment	жена
28027	28017	erykov1234	4	comment	жена
28027	28008	erykov1234	3	comment	жена
28016	28000	raskolrus	4	comment	жена
28016	28011	erykov1234	4	comment	жена
28016	28028	georg_lonsh	4	comment	жена
28016	28011	georg_lonsh	4	comment	жена
28016	28022	raskolrus	4	comment	жена
28016	27996	raskolrus	4	comment	жена
28016	28013	erykov1234	4	comment	жена
28004	28029	raskolrus	4	comment	жена
28004	28027	georg_lonsh	4	comment	жена
28017	28008	erykov1234	0	comment	жена
28017	28019	erykov1234	3	comment	жена
28017	28029	erykov1234	4	comment	жена
28017	28019	raskolrus	4	comment	жена
28017	28003	erykov1234	0	comment	жена
28017	27997	georg_lonsh	4	comment	жена
28017	28004	raskolrus	2	comment	жена
28012	28008	erykov1234	3	comment	жена
28012	28008	raskolrus	4	comment	жена
28012	28000	raskolrus	4	comment	жена
28022	28004	raskolrus	4	comment	жена
28022	28019	raskolrus	4	comment	жена
28022	28017	erykov1234	4	comment	жена
28022	28018	erykov1234	1	comment	жена
28022	28013	raskolrus	4	comment	жена
28022	28012	erykov1234	4	comment	жена
28022	28029	georg_lonsh	4	comment	жена
28022	27995	erykov1234	4	comment	жена
27998	28000	erykov1234	4	comment	жена
27998	28003	erykov1234	0	comment	жена
27998	28012	georg_lonsh	4	comment	жена
27998	27999	erykov1234	3	comment	жена
27998	28004	raskolrus	4	comment	жена
27998	28019	raskolrus	4	comment	жена
28029	28007	erykov1234	4	comment	жена
28024	28006	raskolrus	4	comment	жена
28024	28014	erykov1234	4	comment	жена
28024	28010	raskolrus	4	comment	жена
28024	28027	raskolrus	4	comment	жена
28024	28018	raskolrus	2	comment	жена
28019	28026	georg_lonsh	4	comment	жена
28019	27995	georg_lonsh	4	comment	жена
28019	28017	georg_lonsh	4	comment	жена
28000	28011	erykov1234	4	comment	жена
28000	27997	erykov1234	4	comment	жена
