identifier1	identifier2	annotator	judgment	comment	lemma
27947	27928	georg_lonsh	4	comment	лицо
27947	27933	georg_lonsh	3	comment	лицо
27947	27954	erykov1234	2	comment	лицо
27947	27952	georg_lonsh	4	comment	лицо
27947	27930	raskolrus	2	comment	лицо
27947	27943	raskolrus	4	comment	лицо
27947	27945	erykov1234	1	comment	лицо
27947	27945	raskolrus	2	comment	лицо
27927	27959	georg_lonsh	4	comment	лицо
27927	27926	erykov1234	4	comment	лицо
27927	27931	erykov1234	1	comment	лицо
27927	27940	erykov1234	0	comment	лицо
27927	27944	raskolrus	2	comment	лицо
27940	27950	georg_lonsh	3	comment	лицо
27940	27951	erykov1234	1	comment	лицо
27940	27926	raskolrus	4	comment	лицо
27940	27954	raskolrus	3	comment	лицо
27940	27934	erykov1234	1	comment	лицо
27940	27936	erykov1234	1	comment	лицо
27940	27938	raskolrus	2	comment	лицо
27958	27940	georg_lonsh	3	comment	лицо
27958	27926	erykov1234	1	comment	лицо
27958	27945	raskolrus	4	comment	лицо
27958	27927	raskolrus	2	comment	лицо
27958	27928	raskolrus	2	comment	лицо
27958	27942	georg_lonsh	4	comment	лицо
27958	27935	raskolrus	4	comment	лицо
27929	27927	erykov1234	3	comment	лицо
27929	27943	raskolrus	3	comment	лицо
27929	27952	georg_lonsh	2	comment	лицо
27929	27956	georg_lonsh	3	comment	лицо
27929	27958	erykov1234	1	comment	лицо
27929	27955	raskolrus	2	comment	лицо
27929	27936	erykov1234	1	comment	лицо
27929	27932	raskolrus	2	comment	лицо
27938	27948	raskolrus	2	comment	лицо
27938	27937	georg_lonsh	4	comment	лицо
27938	27943	erykov1234	1	comment	лицо
27938	27929	erykov1234	1	comment	лицо
27938	27933	erykov1234	3	comment	лицо
27928	27939	georg_lonsh	3	comment	лицо
27928	27943	georg_lonsh	4	comment	лицо
27928	27958	georg_lonsh	3	comment	лицо
27928	27950	georg_lonsh	3	comment	лицо
27928	27953	raskolrus	2	comment	лицо
27950	27926	raskolrus	2	comment	лицо
27950	27932	raskolrus	4	comment	лицо
27950	27932	erykov1234	3	comment	лицо
27950	27930	raskolrus	4	comment	лицо
27950	27927	erykov1234	1	comment	лицо
27951	27958	raskolrus	4	comment	лицо
27951	27929	georg_lonsh	2	comment	лицо
27951	27958	erykov1234	3	comment	лицо
27951	27950	raskolrus	4	comment	лицо
27951	27929	raskolrus	2	comment	лицо
27951	27955	erykov1234	3	comment	лицо
27951	27929	erykov1234	1	comment	лицо
27936	27934	georg_lonsh	4	comment	лицо
27936	27941	raskolrus	4	comment	лицо
27936	27956	raskolrus	4	comment	лицо
27936	27941	georg_lonsh	4	comment	лицо
27936	27928	erykov1234	1	comment	лицо
27926	27948	georg_lonsh	4	comment	лицо
27926	27941	georg_lonsh	3	comment	лицо
27926	27957	georg_lonsh	3	comment	лицо
27926	27934	erykov1234	1	comment	лицо
27926	27958	raskolrus	2	comment	лицо
27932	27946	georg_lonsh	4	comment	лицо
27932	27947	erykov1234	1	comment	лицо
27932	27938	raskolrus	4	comment	лицо
27932	27953	raskolrus	4	comment	лицо
27932	27928	raskolrus	2	comment	лицо
27959	27950	erykov1234	1	comment	лицо
27959	27955	raskolrus	2	comment	лицо
27959	27938	raskolrus	2	comment	лицо
27959	27933	erykov1234	0	comment	лицо
27959	27939	georg_lonsh	3	comment	лицо
27959	27928	raskolrus	4	comment	лицо
27933	27930	georg_lonsh	4	comment	лицо
27933	27955	georg_lonsh	4	comment	лицо
27933	27928	raskolrus	2	comment	лицо
27933	27931	georg_lonsh	4	comment	лицо
27933	27943	raskolrus	2	comment	лицо
27933	27942	georg_lonsh	4	comment	лицо
27933	27958	georg_lonsh	4	comment	лицо
27935	27926	erykov1234	1	comment	лицо
27935	27953	erykov1234	3	comment	лицо
27935	27952	raskolrus	2	comment	лицо
27935	27943	georg_lonsh	3	comment	лицо
27935	27949	erykov1234	1	comment	лицо
27935	27955	georg_lonsh	4	comment	лицо
27935	27941	raskolrus	4	comment	лицо
27935	27940	georg_lonsh	3	comment	лицо
27939	27930	georg_lonsh	4	comment	лицо
27939	27943	georg_lonsh	3	comment	лицо
27939	27940	erykov1234	1	comment	лицо
27939	27955	raskolrus	4	comment	лицо
27939	27956	georg_lonsh	3	comment	лицо
27939	27936	erykov1234	0	comment	лицо
27939	27959	erykov1234	1	comment	лицо
27939	27930	erykov1234	0	comment	лицо
27939	27950	erykov1234	3	comment	лицо
27949	27930	georg_lonsh	4	comment	лицо
27949	27937	erykov1234	0	comment	лицо
27949	27929	erykov1234	4	comment	лицо
27949	27948	raskolrus	3	comment	лицо
27949	27940	erykov1234	2	comment	лицо
27949	27927	georg_lonsh	3	comment	лицо
27949	27959	georg_lonsh	3	comment	лицо
27937	27953	raskolrus	4	comment	лицо
27937	27925	georg_lonsh	4	comment	лицо
27937	27927	erykov1234	1	comment	лицо
27937	27957	raskolrus	4	comment	лицо
27937	27959	georg_lonsh	3	comment	лицо
27937	27930	raskolrus	4	comment	лицо
27954	27955	raskolrus	2	comment	лицо
27954	27948	raskolrus	3	comment	лицо
27954	27925	raskolrus	2	comment	лицо
27954	27926	erykov1234	2	comment	лицо
27954	27952	erykov1234	2	comment	лицо
27931	27935	erykov1234	3	comment	лицо
27931	27928	erykov1234	1	comment	лицо
27931	27934	erykov1234	3	comment	лицо
27931	27935	georg_lonsh	3	comment	лицо
27943	27947	georg_lonsh	4	comment	лицо
27943	27930	georg_lonsh	3	comment	лицо
27943	27938	georg_lonsh	3	comment	лицо
27943	27942	erykov1234	2	comment	лицо
27943	27951	georg_lonsh	3	comment	лицо
27943	27941	georg_lonsh	3	comment	лицо
27943	27937	erykov1234	1	comment	лицо
27956	27955	erykov1234	3	comment	лицо
27956	27928	erykov1234	0	comment	лицо
27956	27935	raskolrus	4	comment	лицо
27956	27940	erykov1234	1	comment	лицо
27944	27929	erykov1234	1	comment	лицо
27944	27952	georg_lonsh	2	comment	лицо
27944	27929	raskolrus	2	comment	лицо
27944	27953	georg_lonsh	3	comment	лицо
27944	27926	raskolrus	2	comment	лицо
27944	27948	erykov1234	1	comment	лицо
27945	27951	erykov1234	4	comment	лицо
27945	27934	raskolrus	4	comment	лицо
27945	27938	erykov1234	4	comment	лицо
27945	27930	erykov1234	4	comment	лицо
27957	27931	erykov1234	4	comment	лицо
27957	27929	erykov1234	1	comment	лицо
27957	27954	erykov1234	1	comment	лицо
