lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
место	NN	example	22	22_место_43841		Хорошее место для размышлений о соотношении искусства и жизни, красоты и решеток галерей внутреннего двора гауптвахты!	8:13	0:118
место	NN	example	22	22_место_65346		«Для защиты национальных интересов США мы ищем места для захода наших боевых кораблей и проведения других поддерживающих операций»,-- заявил адмирал Блэр, пояснив, что вопрос захода кораблей США в бухту Камрань«обсуждался с высшими государственными руководителями» этой страны, и что«переговоры идут успешно».	47:52	0:309
место	NN	example	22	22_место_74171		При объеме производства около 300 млн. т/год, она занимает третье место в мире после США и Саудовской Аравии, а по уровню потребления масел(около 130 млн. т/год) удерживает пятое место в мире после США, Японии, Китая и Германии.	66:71	0:228
место	NN	example	22	22_место_224087		Контора устроилась прекрасно, экипажи были отличны; цена за места назначена была самая умеренная, от города до Москвы брали всего четыре целковых.	60:65	0:146
место	NN	example	22	22_место_139402		Весенний сев проходил в 100 местах, вот что такое энергоцентр!!	28:34	0:63
место	NN	example	22	22_место_267533		Позднею осенью, несколько выводков соединяются в одну стаю, которая живет дружно до весны и имеет общий ночлег в одном и том же месте.	128:133	0:134
место	NN	example	22	22_место_196109		-- Слышишь, Регент,-- сказал укротитель,-- что приготовили для тебя в этом месте?	75:80	0:81
место	NN	example	22	22_место_82797		Свои«законные» 200 рублей всегда в кармане-- и неважно, что продукция, которую ты делаешь, никому не нужна, что сосед по участку то и дело прогуливает, что в учреждениях, конторах развелось множество тунеядцев при должности-- вроде и место у них есть, и диплом в кармане, а пользы для страны ни на грош.	234:239	0:303
место	NN	example	22	22_место_22490		Валя обернулась и посмотрела на Мархамат, а девочки, не в силах долго стоять на месте, тут же сорвались и убежали во двор, откуда уже в следующую секунду долетели их крики:	80:85	0:172
место	NN	example	22	22_место_152865		Потом, примерившись, провел через все море ровную линию от Петровска до отмеченного места.	84:89	0:90
место	NN	example	22	22_место_251398		Выпал глубокий снег, и, для того чтобы по некоторым местам провести лошадей, казакам приходилось настилать на рыхлый снег кошмы и шинели.	52:58	0:137
место	NN	example	22	22_место_95036		Центральное место в пантеоне фракийцев занимала безымянная«Великая мать богов», превратившаяся у греков в охотницу Артемиду, в архаическую эпоху требовавшую даже человеческих жертв.	12:17	0:181
место	NN	example	22	22_место_82216		Доподлинно известным было лишь то, что стреляли из одного и того же пистолета-- на местах происшествия найдены три одинаковые гильзы.	83:89	0:133
место	NN	example	22	22_место_167031		Бычков доставлено на рынок из караджанского соляного озера 189 п, и привезено морем из других мест речной рыбы 110 п.	94:98	0:117
место	NN	example	22	22_место_160423		Словно всем ураганным«зарядам» Севера нехватало места на земле и они перенеслись в небесные просторы.	48:53	0:101
место	NN	example	22	22_место_124570		Вдруг представила себя стоящей на месте этой пожилой артистки.	34:39	0:62
место	NN	example	22	22_место_58050		Так вот... что же мы узнаё-оом?-- протянул Ефим и, найдя нужное место, начал читать:	64:69	0:84
место	NN	example	22	22_место_59267		Чего ты на одном месте топчешься?»	17:22	0:34
место	NN	example	22	22_место_231478		-- Но разве от нас вы не могли бы ездить в присутственные места?	58:63	0:64
место	NN	example	22	22_место_271136		Наконец Иоанн изъявил досаду: принимая гонца литовского, не встал с места, не спросил о здоровье короля и написал к Стефану:«Мы, смиренный государь всея России, Божиею, а не человеческою многомятежною волею...	68:73	0:209
место	NN	example	22	22_место_113731		Ведь вся жизнь заключается в том, чтобы сортировать овец и козлищ; и овец мы тоже сортируем, а уж козлищ исключаем совершенно: там козлищам и место.	142:147	0:148
место	NN	example	22	22_место_211671		В последнем случае необозримые, бесконечные камыши, проросшие кустами и лесом, с озерами более или менее глубокими, представляют самые благонадежные, просторные и крепкие места для вывода и укрывательства с молодыми всякой птице и преимущественно водяной дичи.	171:176	0:260
место	NN	example	22	22_место_43372		Все он собирает тщательно и хочет написать даже вроде истории, не то о становлении Советской власти в наших местах, не то историю партийных организаций.	108:114	0:152
место	NN	example	22	22_место_75057		Есть ли у вас возможность обучать людей в местах постоянной дислокации с учетом особенностей построения ПВО в вашей стране?	42:48	0:123
место	NN	example	22	22_место_213515		Я предоставил самому обществу указывать кандидатов, более бедных склонял к согласию обещанием устройства им на месте полного хозяйства и крупных вспомоществований от казны.	111:116	0:172
место	NN	example	22	22_место_106842		К сезонным миграциям относят также кочевничество, паломничество к святым местам.	73:79	0:80
место	NN	example	22	22_место_42556		Но прежде чем начинать искать работу где-либо в другом месте, мне нужно было получить паспорт.	55:60	0:94
место	NN	example	22	22_место_36618		И я, Соломон Премудрый, узнал сие место и велел убитого отрыть.	34:39	0:63
место	NN	example	22	22_место_276219		А междо тем все курьеры для близости и способности пути стали чрез здешнее место ездить, в котором я имею великую опасность, ибо может причесться, что я противно указа пропущаю, возвращать же их на Верхотурье отсуда до 500 верст будет лишка, и в нуждных посылках может нечаянно учиниться остановка.	75:80	0:298
место	NN	example	22	22_место_85824		Сначала решаем осмотреть местность, выбрать место для лагеря.	44:49	0:61
место	NN	example	22	22_место_88255		3.1 Одновременно с Договором или в любое время в период действия Договора КЛИЕНТ подает в дополнительный офис по месту обслуживания«Заявление на подключение к услуге«Электронный банк»(Приложение 1).	113:118	0:198
место	NN	example	22	22_место_167861		Золотая лихорадка, разыгравшаяся в Овсянке, натолкнула искателей золота на мысль произвести разведки и в других местах по течению Зеи.	112:118	0:134
