lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
дело	NN	example	22	22_дело_264998		Только что составленный кабинет пришлось отменить, чтобы назавтра приступить к делу снова.	79:83	0:90	28385	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_323493		Вот почему для такого рода преподавателей в особенности необходимо специальное педагогическое подготовление, тем более что нельзя ожидать, чтобы они сами, при ограниченности своих познаний, могли самостоятельно подготовиться к своему делу, так как знание иностранных языков, а вместе с тем и чтение иностранных педагогических сочинений для них большей частью недоступно.	234:238	0:370	28384	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_420824		Чем же более в деле сем открывается благость Божия и премудрость: тем более стараться нам надобно, чтоб сие свойство не превратить на другой конец, то есть, чтоб способности и дарования не употребить во зло.	15:19	0:207	28395	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_213701		Теперь нам нужно дело продолжать по-прежнему, не только для дела,-- а и для спасения товарищей.	17:21	0:95	28388	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_58783		-- Как же так, Семен Николаевич,-- сказал он Таратару,-- весь мир, можно сказать, занимается делами вашего восьмого«Б», а я веду переговоры, почти ничего не зная о происходящем?	93:99	0:177	28383	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_233559		Если бы русская военная промышленность стояла на высоте западноевропейской, то был бы иной темп в деле развития и технического усовершенствования русской артиллерии и ей не приходилось бы в этом отношении плестись в хвосте германской и даже австро-венгерской армии, постоянно запаздывая с осуществлением идей, нередко зарождавшихся в России и становившихся достоянием заграничных заводов.	98:102	0:388	28411	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_18915		Тот заминает дело и использует этот жуткий компромат для того, чтобы полностью подчинить тебя себе.	13:17	0:99	28396	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_167615		Возвращаю Вам дело по обвинению Гумилева Льва Николаевича и других.	14:18	0:67	28407	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_327714		Она сомневалась в успехе задуманного дела, и, к ее же собственному удивлению, ей смутно казалось, что все было бы благополучно, если бы не главный его и добровольный устроитель.	37:41	0:177	28408	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_293461		Почему мы должны непременно ждать этого учредительного собрания? станет ли оно на деле учредительным? прочно ли оно будет без предварительного и одновременного учреждения революционных крестьянских комитетов?-- все эти вопросы упущены из виду конференцией.	82:86	0:256	28403	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_135504		А теперь, ребята, приступим к делу.	30:34	0:35	28397	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_280782		А у меня деньги все в дело вложены.	22:26	0:35	28393	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_307465		-- Однако для такого храброго моряка, как вы, которому притом я и сам обязан, я готов сделать больше, чем для любого другого-- и объясню, в чем дело.	144:148	0:149	28404	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_389874		Никто не мог, разумеется, сообщить следователю того, что знали, например, мы с Штейнгартом или Мишка Биркин с товарищами, и нет ничего удивительного, что он отнесся к делу поверхностно, спустя рукава.	167:171	0:200	28389	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_347127		Он пошел с горы, а нож делал свое дело и вонзался все глубже и глубже.	34:38	0:70	28409	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_406532		Держась строго своей системы невмешательства в это без сомнения больное для него дело, дядя, однако, был сильно встревожен, заметив, что образовательная сторона его детей ограничивается почти исключительно обучением их знанию языков, которое велось чрезвычайно основательно, но затем все прочее оставляло в пробеле.	81:85	0:315	28392	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_372346		-- Беда!-- решила вдруг Татьяна Павловна, поняв, в чем дело.	55:59	0:60	28381	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_155440		Здесь один за другим служили замечательные священники, очень образованные и преданные своему делу.	93:97	0:98	28413	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_410759		Кто теперь из поляков решится вспомнить речи Ореховского и Моджевского и возобновить их дело?	88:92	0:93	28410	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_395503		-- Я должен вам сказать,-- произнес он холодно,-- что еще вчера мною сделано распоряжение о совершенном прекращении этого дела.	70:74	0:127	28380	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_349765		-- В любви все дело минуты,-- продолжал он каким-то даже страстным голосом,-- например, я десять бы лет жизни отдал, если бы вы позволили мне поцеловать божественную вашу ножку...	15:19	0:179	28406	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_169009		Дело, разумеется, нужное, квартира с момента, как въехали, в порядок не приводилась.	0:4	0:84	28391	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_55628		Он понимал, что для Костякова важны и дела, и здоровье, и жизнь ему нужна.	38:42	0:74	28382	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_221676		Беда всем и каждому, кто станет иметь с ним дело.	44:48	0:49	28400	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_156361		Не делаем ли мы все дела свои, чтобы показаться перед людьми(Мф. 6, 5)?	3:7	0:71	28414	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_294635		Папеньке помогала в дурных делах, нисколько не жалела людей.	27:32	0:60	28394	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_102013		Экспозиция, посвященная Краснознаменному военному округу, подготовлена со знанием дела и вызывает у посетителей неподдельный интерес, особенно у тех, кто всю свою жизнь отдал армейской службе.	82:86	0:192	28390	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_89123		Капитан за пять лет своей работы имел дело с преступниками, наделенными самыми разными чертами характера.	38:42	0:105	28402	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_134928		Что-нибудь одно— или в окна глазеть, или дело делать.	41:45	0:53	28401	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_396220		Ни в чем не замечен-- это значит: послушлив, благонадежен, исполнителен и, стало быть, может быть пристроен к какому угодно делу.	124:128	0:129	28399	sem_cluster	ru	ek.gavrishina
дело	NN	example	22	22_дело_118244		А на самом деле в одной только Москве ежегодно находится пара десятков желающих переделать«старый шестисотый», W140, он же«стосорокет», в W220.	11:15	0:143	28412	sem_cluster	ru	ek.gavrishina
