lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
друг	NN	example	22	22_друг_69041		Алые розы нежно прикасались друг к другу своими атласными лепестками, как пурпуровые губы, ожидающие поцелуя.	28:32	0:109	29636	sem_cluster_plus	ru	ek.gavrishina
друг	NN	example	22	22_друг_11965		Я таки частенько о нем пишу, потому что он мне пока единственный хороший друг и такая натура!	73:77	0:93	29653	sem_cluster_plus	ru	ek.gavrishina
друг	NN	example	22	22_друг_62301		Скотину таскали из подворотни-- небывалого мало, и не в том было всё удивленье, что как вышли по Боровой дороге, так тут же почти у села наткнулись на чисто обглоданные коровьи косточки, чёрное овечье волокно висело по кустикам клочьями, словно черти тут дрались, гоняясь по кустам друг за дружкой,-- самое главное то, что лежал вместе с задранной скотиной Нил неподалёку от дороги в приметных своих чунях по высокой портянке, фасонисто замотанной до коленок сыромятным ремнём.	282:286	0:477	29654	sem_cluster_plus	ru	ek.gavrishina
друг	NN	example	22	22_друг_39535		И мы можем уверенно сказать: в минуту испытаний и алтайский парень Павел Колокольников, и друзья, что живут у Заставы Ильича, и мальчишки, подружившиеся на раскаленных от солнца улицах Москвы, выполнят свой долг до конца.	207:211	0:221	29662	sem_cluster_plus	ru	ek.gavrishina
друг	NN	example	22	22_друг_39540		От университетских колонн до противоположных зданий вдали-- вся площадь, все ее клумбы, дорожки, скамейки-- все было рассчитано лишь на этих двоих-- на девушку в тунике и ее друга, хозяина этой земли.	174:179	0:200	29631	sem_cluster_plus	ru	ek.gavrishina
друг	NN	example	22	22_друг_52001		По левой стороне стояли вплотную друг к другу вросшие в землю столетние одноэтажные дома, а справа тянулись разной высоты глухие каменные заборы.	33:37	0:145	29643	sem_cluster_plus	ru	ek.gavrishina
друг	NN	example	22	22_друг_33379		А Волошин не проводит резкой грани между внешними и внутренними побуждениями, они у него взаимосвязаны и постоянно воздействуют друг на друга:«Если познание-- разум, то любовь-- безумие.	128:132	0:186	29646	sem_cluster_plus	ru	ek.gavrishina
друг	NN	example	22	22_друг_49566		-- У меня друг есть Васька Серов, тоже генерал, но юморной, как ребенок, и просто до невозможности.	10:14	0:99	29640	sem_cluster_plus	ru	ek.gavrishina
друг	NN	example	22	22_друг_69725		Весть быстро распространилась по городу, и скоро за Элли и ее друзьями до самого дворца шла большая толпа почтительных зевак.	71:73	0:125	29658	sem_cluster_plus	ru	ek.gavrishina
друг	NN	example	22	22_друг_97576		Оттого-то, мой друг, я и не люблю литературных и ученых бесед.	15:19	0:62	29660	sem_cluster_plus	ru	ek.gavrishina
друг	NN	example	22	22_друг_5179		Таким же скромным, но талантливым актером был мой друг Николай Владимирович Остроухов.	50:54	0:86	29633	sem_cluster_plus	ru	ek.gavrishina
друг	NN	example	22	22_друг_84774		Нужно отдать полную справедливость моему другу, который обладал одной из величайших добродетелей, именно-- уменьем слушать.	41:46	0:123	29647	sem_cluster_plus	ru	ek.gavrishina
