identifier1	identifier2	annotator	judgment	comment	lemma
28102	28123	georg_lonsh	3	comment	сила
28102	28124	georg_lonsh	4	comment	сила
28102	28128	georg_lonsh	0	comment	сила
28102	28118	georg_lonsh	3	comment	сила
28102	28119	georg_lonsh	0	comment	сила
28102	28127	erykov1234	1	comment	сила
28102	28126	georg_lonsh	4	comment	сила
28102	28114	raskolrus	2	comment	сила
28102	28130	georg_lonsh	2	comment	сила
28102	28106	raskolrus	2	comment	сила
28102	28125	raskolrus	2	comment	сила
28102	28104	erykov1234	1	comment	сила
28121	28122	georg_lonsh	2	comment	сила
28121	28122	erykov1234	1	comment	сила
28121	28120	erykov1234	1	comment	сила
28121	28127	erykov1234	1	comment	сила
28121	28109	erykov1234	1	comment	сила
28121	28130	georg_lonsh	2	comment	сила
28121	28117	raskolrus	2	comment	сила
28115	28114	erykov1234	4	comment	сила
28115	28119	erykov1234	1	comment	сила
28115	28118	erykov1234	4	comment	сила
28115	28106	erykov1234	4	comment	сила
28115	28103	erykov1234	1	comment	сила
28115	28125	georg_lonsh	3	comment	сила
28115	28103	raskolrus	2	comment	сила
28115	28133	georg_lonsh	0	comment	сила
28132	28121	georg_lonsh	2	comment	сила
28132	28120	erykov1234	4	comment	сила
28132	28108	raskolrus	2	comment	сила
28132	28102	raskolrus	2	comment	сила
28132	28103	georg_lonsh	3	comment	сила
28132	28117	erykov1234	4	comment	сила
28108	28122	raskolrus	2	comment	сила
28108	28133	georg_lonsh	0	comment	сила
28108	28106	erykov1234	1	comment	сила
28108	28115	erykov1234	1	comment	сила
28108	28120	erykov1234	1	comment	сила
28108	28110	georg_lonsh	0	comment	сила
28108	28103	georg_lonsh	3	comment	сила
28108	28109	georg_lonsh	4	comment	сила
28117	28122	raskolrus	3	comment	сила
28117	28113	raskolrus	2	comment	сила
28117	28132	raskolrus	3	comment	сила
28117	28100	georg_lonsh	3	comment	сила
28117	28105	georg_lonsh	3	comment	сила
28117	28108	georg_lonsh	2	comment	сила
28117	28107	raskolrus	2	comment	сила
28117	28134	georg_lonsh	2	comment	сила
28117	28131	georg_lonsh	3	comment	сила
28117	28132	georg_lonsh	3	comment	сила
28122	28131	raskolrus	4	comment	сила
28122	28113	erykov1234	4	comment	сила
28122	28100	georg_lonsh	3	comment	сила
28122	28132	erykov1234	1	comment	сила
28122	28106	raskolrus	3	comment	сила
28122	28124	raskolrus	3	comment	сила
28122	28116	raskolrus	3	comment	сила
28120	28110	georg_lonsh	3	comment	сила
28120	28122	georg_lonsh	2	comment	сила
28120	28102	raskolrus	2	comment	сила
28120	28129	raskolrus	2	comment	сила
28120	28125	georg_lonsh	3	comment	сила
28127	28116	erykov1234	1	comment	сила
28127	28125	georg_lonsh	2	comment	сила
28127	28108	raskolrus	2	comment	сила
28127	28115	erykov1234	1	comment	сила
28127	28126	georg_lonsh	3	comment	сила
28127	28116	raskolrus	2	comment	сила
28127	28124	erykov1234	1	comment	сила
28111	28124	raskolrus	4	comment	сила
28111	28131	georg_lonsh	3	comment	сила
28111	28116	georg_lonsh	2	comment	сила
28111	28134	raskolrus	3	comment	сила
28111	28121	raskolrus	2	comment	сила
28111	28118	raskolrus	3	comment	сила
28111	28101	georg_lonsh	3	comment	сила
28111	28106	raskolrus	3	comment	сила
28111	28102	raskolrus	2	comment	сила
28111	28134	georg_lonsh	2	comment	сила
28130	28122	erykov1234	1	comment	сила
28130	28125	georg_lonsh	3	comment	сила
28130	28111	erykov1234	1	comment	сила
28130	28113	georg_lonsh	2	comment	сила
28130	28122	georg_lonsh	3	comment	сила
28130	28100	erykov1234	4	comment	сила
28130	28123	raskolrus	2	comment	сила
28130	28114	georg_lonsh	3	comment	сила
28128	28116	raskolrus	2	comment	сила
28128	28118	georg_lonsh	3	comment	сила
28128	28134	raskolrus	3	comment	сила
28112	28105	erykov1234	1	comment	сила
28112	28115	georg_lonsh	3	comment	сила
28112	28133	raskolrus	2	comment	сила
28100	28122	raskolrus	4	comment	сила
28100	28119	georg_lonsh	4	comment	сила
28100	28105	georg_lonsh	0	comment	сила
28100	28108	erykov1234	1	comment	сила
28100	28106	raskolrus	4	comment	сила
28100	28115	raskolrus	4	comment	сила
28100	28116	georg_lonsh	0	comment	сила
28100	28131	raskolrus	3	comment	сила
28100	28106	georg_lonsh	4	comment	сила
28100	28116	raskolrus	3	comment	сила
28100	28117	raskolrus	2	comment	сила
28104	28103	erykov1234	1	comment	сила
28104	28112	raskolrus	2	comment	сила
28104	28134	raskolrus	4	comment	сила
28104	28110	raskolrus	3	comment	сила
28104	28119	raskolrus	3	comment	сила
28103	28114	erykov1234	1	comment	сила
28103	28130	georg_lonsh	3	comment	сила
28103	28105	raskolrus	4	comment	сила
28103	28120	georg_lonsh	3	comment	сила
28103	28109	erykov1234	1	comment	сила
28103	28100	erykov1234	1	comment	сила
28103	28130	raskolrus	3	comment	сила
28103	28110	georg_lonsh	4	comment	сила
28103	28100	georg_lonsh	3	comment	сила
28103	28125	georg_lonsh	0	comment	сила
28103	28110	erykov1234	1	comment	сила
28110	28104	erykov1234	1	comment	сила
28110	28100	erykov1234	1	comment	сила
