identifier1	identifier2	annotator	judgment	comment	lemma
29460	29487	erykov1234	3	comment	женщина
29460	29462	georg_lonsh	3	comment	женщина
29460	29455	raskolrus	4	comment	женщина
29460	29466	erykov1234	3	comment	женщина
29460	29473	erykov1234	4	comment	женщина
29460	29483	raskolrus	4	comment	женщина
29460	29470	erykov1234	3	comment	женщина
29460	29471	georg_lonsh	4	comment	женщина
29476	29472	erykov1234	3	comment	женщина
29476	29487	raskolrus	4	comment	женщина
29476	29462	raskolrus	4	comment	женщина
29476	29471	raskolrus	4	comment	женщина
29476	29462	erykov1234	4	comment	женщина
29476	29454	raskolrus	4	comment	женщина
29476	29474	georg_lonsh	4	comment	женщина
29464	29487	raskolrus	4	comment	женщина
29464	29458	georg_lonsh	4	comment	женщина
29464	29457	erykov1234	4	comment	женщина
29459	29469	erykov1234	3	comment	женщина
29459	29466	erykov1234	3	comment	женщина
29459	29456	erykov1234	3	comment	женщина
29459	29453	georg_lonsh	4	comment	женщина
29459	29466	georg_lonsh	4	comment	женщина
29459	29463	raskolrus	4	comment	женщина
29459	29468	georg_lonsh	4	comment	женщина
29459	29453	erykov1234	3	comment	женщина
29459	29465	georg_lonsh	4	comment	женщина
29483	29457	georg_lonsh	3	comment	женщина
29483	29470	raskolrus	4	comment	женщина
29483	29480	erykov1234	4	comment	женщина
29483	29477	erykov1234	4	comment	женщина
29483	29459	raskolrus	4	comment	женщина
29483	29471	raskolrus	4	comment	женщина
29483	29460	georg_lonsh	4	comment	женщина
29483	29481	georg_lonsh	4	comment	женщина
29484	29482	erykov1234	3	comment	женщина
29484	29467	georg_lonsh	4	comment	женщина
29484	29466	erykov1234	4	comment	женщина
29484	29459	erykov1234	2	comment	женщина
29470	29461	erykov1234	4	comment	женщина
29470	29486	erykov1234	3	comment	женщина
29470	29480	georg_lonsh	4	comment	женщина
29470	29464	erykov1234	3	comment	женщина
29470	29486	georg_lonsh	4	comment	женщина
29470	29453	raskolrus	4	comment	женщина
29465	29470	erykov1234	4	comment	женщина
29465	29469	erykov1234	4	comment	женщина
29465	29456	erykov1234	4	comment	женщина
29465	29471	georg_lonsh	4	comment	женщина
29465	29476	georg_lonsh	4	comment	женщина
29474	29462	erykov1234	3	comment	женщина
29474	29484	georg_lonsh	4	comment	женщина
29474	29468	raskolrus	4	comment	женщина
29474	29457	raskolrus	3	comment	женщина
29474	29483	georg_lonsh	4	comment	женщина
29474	29455	erykov1234	4	comment	женщина
29473	29459	raskolrus	4	comment	женщина
29473	29470	georg_lonsh	4	comment	женщина
29473	29461	raskolrus	4	comment	женщина
29466	29487	georg_lonsh	4	comment	женщина
29466	29486	raskolrus	4	comment	женщина
29466	29463	georg_lonsh	4	comment	женщина
29466	29462	erykov1234	3	comment	женщина
29466	29476	georg_lonsh	4	comment	женщина
29466	29485	georg_lonsh	4	comment	женщина
29466	29453	raskolrus	4	comment	женщина
29466	29469	georg_lonsh	4	comment	женщина
29471	29484	erykov1234	4	comment	женщина
29471	29486	erykov1234	3	comment	женщина
29471	29457	erykov1234	2	comment	женщина
29471	29474	georg_lonsh	4	comment	женщина
29471	29469	raskolrus	4	comment	женщина
29471	29458	erykov1234	3	comment	женщина
29462	29484	georg_lonsh	3	comment	женщина
29462	29485	raskolrus	4	comment	женщина
29462	29482	erykov1234	4	comment	женщина
29462	29456	erykov1234	3	comment	женщина
29486	29470	raskolrus	4	comment	женщина
29486	29454	raskolrus	4	comment	женщина
29486	29458	georg_lonsh	3	comment	женщина
29486	29455	erykov1234	3	comment	женщина
29486	29468	georg_lonsh	4	comment	женщина
29486	29456	raskolrus	4	comment	женщина
29486	29462	georg_lonsh	3	comment	женщина
29486	29459	raskolrus	4	comment	женщина
29486	29477	erykov1234	3	comment	женщина
29486	29484	erykov1234	3	comment	женщина
29486	29474	georg_lonsh	3	comment	женщина
29454	29483	raskolrus	4	comment	женщина
29454	29469	erykov1234	3	comment	женщина
29454	29475	georg_lonsh	3	comment	женщина
29454	29481	raskolrus	4	comment	женщина
29454	29481	georg_lonsh	4	comment	женщина
29454	29453	erykov1234	3	comment	женщина
29454	29482	erykov1234	3	comment	женщина
29453	29482	georg_lonsh	4	comment	женщина
29453	29458	erykov1234	4	comment	женщина
29453	29469	raskolrus	4	comment	женщина
29453	29471	erykov1234	3	comment	женщина
29453	29462	georg_lonsh	3	comment	женщина
29453	29483	erykov1234	3	comment	женщина
29453	29456	erykov1234	4	comment	женщина
29453	29487	raskolrus	4	comment	женщина
29453	29477	georg_lonsh	4	comment	женщина
29453	29472	georg_lonsh	4	comment	женщина
29453	29468	raskolrus	4	comment	женщина
29479	29456	georg_lonsh	4	comment	женщина
29479	29483	georg_lonsh	4	comment	женщина
29479	29476	erykov1234	4	comment	женщина
29479	29465	georg_lonsh	4	comment	женщина
29479	29471	raskolrus	4	comment	женщина
29479	29461	georg_lonsh	4	comment	женщина
29479	29486	georg_lonsh	4	comment	женщина
29479	29482	erykov1234	4	comment	женщина
29482	29464	georg_lonsh	4	comment	женщина
29482	29469	georg_lonsh	4	comment	женщина
29482	29479	raskolrus	4	comment	женщина
29457	29472	georg_lonsh	3	comment	женщина
29457	29472	erykov1234	2	comment	женщина
29478	29474	erykov1234	3	comment	женщина
29478	29469	georg_lonsh	4	comment	женщина
29478	29453	georg_lonsh	4	comment	женщина
29478	29470	erykov1234	3	comment	женщина
29478	29467	raskolrus	4	comment	женщина
29478	29468	erykov1234	3	comment	женщина
29478	29468	georg_lonsh	4	comment	женщина
29487	29468	raskolrus	4	comment	женщина
29487	29472	raskolrus	4	comment	женщина
29487	29467	erykov1234	4	comment	женщина
29487	29480	raskolrus	4	comment	женщина
29487	29457	raskolrus	3	comment	женщина
29456	29461	erykov1234	4	comment	женщина
29456	29474	georg_lonsh	3	comment	женщина
29485	29478	erykov1234	3	comment	женщина
29485	29469	raskolrus	4	comment	женщина
29485	29464	raskolrus	4	comment	женщина
29485	29479	erykov1234	4	comment	женщина
29477	29465	erykov1234	4	comment	женщина
29477	29475	raskolrus	4	comment	женщина
29477	29485	georg_lonsh	4	comment	женщина
29477	29487	georg_lonsh	4	comment	женщина
29461	29472	erykov1234	4	comment	женщина
29461	29462	raskolrus	3	comment	женщина
29461	29482	georg_lonsh	4	comment	женщина
29461	29469	raskolrus	4	comment	женщина
29461	29464	erykov1234	4	comment	женщина
29461	29455	erykov1234	3	comment	женщина
29458	29479	erykov1234	3	comment	женщина
29458	29464	erykov1234	3	comment	женщина
29458	29469	georg_lonsh	4	comment	женщина
29458	29466	raskolrus	4	comment	женщина
29458	29473	erykov1234	4	comment	женщина
29458	29459	raskolrus	4	comment	женщина
29458	29472	erykov1234	4	comment	женщина
29458	29463	erykov1234	4	comment	женщина
29472	29467	erykov1234	4	comment	женщина
29472	29468	raskolrus	4	comment	женщина
29472	29466	raskolrus	4	comment	женщина
29481	29459	raskolrus	4	comment	женщина
29481	29475	georg_lonsh	3	comment	женщина
29481	29462	raskolrus	4	comment	женщина
29481	29483	raskolrus	4	comment	женщина
29481	29461	raskolrus	4	comment	женщина
29481	29466	raskolrus	4	comment	женщина
29469	29461	erykov1234	4	comment	женщина
29469	29472	raskolrus	4	comment	женщина
29469	29460	erykov1234	3	comment	женщина
29469	29458	raskolrus	4	comment	женщина
29469	29464	raskolrus	4	comment	женщина
29468	29482	raskolrus	4	comment	женщина
29468	29473	georg_lonsh	4	comment	женщина
29468	29476	raskolrus	4	comment	женщина
29468	29458	erykov1234	3	comment	женщина
29468	29474	erykov1234	4	comment	женщина
29467	29485	georg_lonsh	4	comment	женщина
29467	29484	erykov1234	4	comment	женщина
29467	29483	raskolrus	4	comment	женщина
29467	29465	raskolrus	4	comment	женщина
29467	29486	georg_lonsh	4	comment	женщина
29467	29461	erykov1234	3	comment	женщина
29467	29465	erykov1234	4	comment	женщина
29463	29469	georg_lonsh	4	comment	женщина
29463	29454	raskolrus	4	comment	женщина
29463	29472	georg_lonsh	4	comment	женщина
29463	29481	georg_lonsh	4	comment	женщина
29475	29455	erykov1234	4	comment	женщина
29475	29485	georg_lonsh	3	comment	женщина
29475	29474	raskolrus	3	comment	женщина
29475	29456	raskolrus	3	comment	женщина
29475	29469	raskolrus	4	comment	женщина
29475	29453	raskolrus	4	comment	женщина
29475	29476	raskolrus	4	comment	женщина
29480	29456	erykov1234	4	comment	женщина
29480	29474	raskolrus	4	comment	женщина
29480	29468	georg_lonsh	4	comment	женщина
29455	29480	raskolrus	4	comment	женщина
29455	29476	erykov1234	4	comment	женщина
29455	29459	erykov1234	2	comment	женщина
