identifier1	identifier2	annotator	judgment	comment	lemma
27619	27637	raskolrus	1	comment	мир
27619	27616	erykov1234	0	comment	мир
27619	27624	raskolrus	3	comment	мир
27619	27626	georg_lonsh	2	comment	мир
27619	27643	erykov1234	3	comment	мир
27619	27640	georg_lonsh	3	comment	мир
27619	27617	raskolrus	4	comment	мир
27619	27641	erykov1234	1	comment	мир
27619	27638	erykov1234	2	comment	мир
27624	27616	georg_lonsh	3	comment	мир
27624	27635	erykov1234	4	comment	мир
27624	27617	erykov1234	3	comment	мир
27624	27641	raskolrus	3	comment	мир
27624	27614	raskolrus	3	comment	мир
27624	27633	raskolrus	3	comment	мир
27621	27638	raskolrus	3	comment	мир
27621	27643	georg_lonsh	3	comment	мир
27621	27617	raskolrus	3	comment	мир
27621	27613	georg_lonsh	3	comment	мир
27621	27611	raskolrus	2	comment	мир
27621	27632	raskolrus	3	comment	мир
27621	27643	raskolrus	3	comment	мир
27621	27638	georg_lonsh	0	comment	мир
27635	27644	georg_lonsh	3	comment	мир
27635	27622	erykov1234	1	comment	мир
27635	27619	raskolrus	3	comment	мир
27635	27621	erykov1234	2	comment	мир
27635	27618	erykov1234	3	comment	мир
27635	27613	raskolrus	2	comment	мир
27635	27623	raskolrus	4	comment	мир
27635	27639	erykov1234	4	comment	мир
27635	27634	raskolrus	3	comment	мир
27635	27610	erykov1234	4	comment	мир
27635	27642	erykov1234	2	comment	мир
27635	27614	erykov1234	0	comment	мир
27642	27638	erykov1234	4	comment	мир
27642	27615	erykov1234	1	comment	мир
27642	27644	georg_lonsh	3	comment	мир
27642	27625	raskolrus	2	comment	мир
27642	27635	georg_lonsh	4	comment	мир
27642	27641	raskolrus	4	comment	мир
27642	27612	erykov1234	3	comment	мир
27642	27615	georg_lonsh	2	comment	мир
27642	27616	raskolrus	3	comment	мир
27642	27633	georg_lonsh	3	comment	мир
27614	27630	raskolrus	3	comment	мир
27614	27620	erykov1234	4	comment	мир
27614	27611	georg_lonsh	0	comment	мир
27614	27642	georg_lonsh	3	comment	мир
27614	27633	raskolrus	4	comment	мир
27614	27633	erykov1234	2	comment	мир
27627	27642	raskolrus	2	comment	мир
27627	27635	georg_lonsh	4	comment	мир
27627	27639	erykov1234	2	comment	мир
27627	27613	erykov1234	2	comment	мир
27627	27636	georg_lonsh	3	comment	мир
27627	27629	erykov1234	0	comment	мир
27627	27620	erykov1234	3	comment	мир
27627	27635	raskolrus	4	comment	мир
27627	27621	erykov1234	2	comment	мир
27627	27638	erykov1234	2	comment	мир
27627	27617	georg_lonsh	0	comment	мир
27632	27622	georg_lonsh	2	comment	мир
27632	27613	georg_lonsh	3	comment	мир
27632	27634	raskolrus	3	comment	мир
27632	27624	erykov1234	1	comment	мир
27644	27616	raskolrus	3	comment	мир
27644	27628	georg_lonsh	3	comment	мир
27644	27639	raskolrus	2	comment	мир
27644	27624	georg_lonsh	3	comment	мир
27644	27631	raskolrus	3	comment	мир
27644	27622	georg_lonsh	2	comment	мир
27638	27644	erykov1234	1	comment	мир
27638	27615	erykov1234	1	comment	мир
27638	27617	erykov1234	1	comment	мир
27638	27630	georg_lonsh	3	comment	мир
27638	27625	erykov1234	2	comment	мир
27611	27617	raskolrus	2	comment	мир
27611	27632	raskolrus	2	comment	мир
27611	27618	raskolrus	2	comment	мир
27611	27632	georg_lonsh	3	comment	мир
27611	27615	raskolrus	4	comment	мир
27611	27615	georg_lonsh	2	comment	мир
27611	27618	georg_lonsh	3	comment	мир
27611	27636	erykov1234	4	comment	мир
27611	27637	erykov1234	1	comment	мир
27611	27639	georg_lonsh	0	comment	мир
27631	27622	raskolrus	1	comment	мир
27631	27624	georg_lonsh	3	comment	мир
27631	27621	raskolrus	3	comment	мир
27631	27626	raskolrus	1	comment	мир
27631	27638	erykov1234	2	comment	мир
27631	27623	erykov1234	2	comment	мир
27631	27621	erykov1234	1	comment	мир
27631	27626	georg_lonsh	2	comment	мир
27631	27633	georg_lonsh	4	comment	мир
27629	27627	raskolrus	0	comment	мир
27629	27634	erykov1234	0	comment	мир
27629	27623	erykov1234	0	comment	мир
27629	27641	erykov1234	0	comment	мир
27629	27638	georg_lonsh	0	comment	мир
27629	27624	raskolrus	0	comment	мир
27629	27642	raskolrus	0	comment	мир
27629	27640	raskolrus	0	comment	мир
27629	27643	georg_lonsh	0	comment	мир
27629	27619	georg_lonsh	0	comment	мир
27629	27626	erykov1234	0	comment	мир
27629	27619	erykov1234	0	comment	мир
27612	27628	erykov1234	2	comment	мир
27612	27628	raskolrus	4	comment	мир
