lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
голова	NN	example	22	22_голова_197836		Какое неприятное впечатление производит арабская чернь: в халатах ходят, босые, с непокрытой головой.	93:100	0:101
голова	NN	example	22	22_голова_15863		Директор слушал, кивал большой гладкой головой-- соглашался.	39:46	0:60
голова	NN	example	22	22_голова_191297		Голова и вся особа маски терялись в серебристых полах двойного капюшона.	0:6	0:72
голова	NN	example	22	22_голова_37622		Над его головой орут и пляшут веселые девицы, которым тоже сдает комнату хозяйка дома, почтенная вдова.	8:15	0:103
голова	NN	example	22	22_голова_47199		Стоило ему уплыть– и появлялась стайка серебристой мелочи, устроившая у меня над головой пастбище.	81:88	0:98
голова	NN	example	22	22_голова_237939		Где часовней много, там церкви почти везде в небрежении, попы не учены, не рачительны, невежи и пьяны, а потому самому нравы гораздо наклоннее к расколам; из того следует, что расколы по моему примечанию в рассуждении закона не суть важны, но заслуживают важнейшаго внимания политических голов, ибо к чему годится такая секта, которая общественную пользу считает чужою, чуждается, убегает, ненавидит и прячется от общественных прав и узаконении, наблюдая оныя только из корыстолюбия и из страху наказаний в молитвах своих, которые чтут первым долгом Божества, не упоминают имя государя, следовательно, его внутренно не признают власти, видимо считая еретиком; сограждан своих не называют соотчичами, но погаными и врагами, гнушаясь с ними есть, пить, знаться, обходиться и иметь дело.	288:293	0:784
голова	NN	example	22	22_голова_183080		Голова и руки-- разве это не капитал для всякого человека, а тем более для такого, которому, как ему, так мало надо, и т._д.	0:6	0:124
голова	NN	example	22	22_голова_147201		Так как и они, и мы по своим средствам не могли снять целую дачу, нам пришло в голову объединиться и снять одну дачу пополам.	79:85	0:125
голова	NN	example	22	22_голова_224318		По временам больной, действительно, засыпал, но потом внезапно вскакивал с постели, хватал себя за голову и жалобным голосом спрашивал у Наденьки, куда девался его мозг, зачем сдавили у него душу, и пр.	99:105	0:202
голова	NN	example	22	22_голова_80617		Может быть, просто не приходило в голову.	34:40	0:41
голова	NN	example	22	22_голова_160209		Только кое-где одинокие городовые, вобрав головы в плечи, торчат на своих постах сонливо и неподвижно.	42:48	0:102
голова	NN	example	22	22_голова_101496		В палату вбежал мальчик; мокрые от дождя волосы облепили его голову.	61:67	0:68
голова	NN	example	22	22_голова_150573		Неизменно в начале урока, кряхтя и примешивая множество русских, немецких слов к щепотке французских, он описывал свое утомление после дня работы(заведывал крупной бумажной фабрикой), и от этих длительных жалоб переходил, сразу попадая с головой в безвыходные потемки, к обсуждению-- по французски!-- международной политики, при чем требовал чуда: чтобы всё это дикое, вязкое, тяжкое, как перевозка камней по размытой дороге, обратилось вдруг в ажурную речь.	238:245	0:458
голова	NN	example	22	22_голова_203306		Вот увидите человека!.. такой головы в мире нет, не было и...-- полковник внутренне и тихо помолился Кошуту.	30:36	0:108
голова	NN	example	22	22_голова_58365		Красные, желтые, оранжевые, как разноцветные птицы, они веселыми стайками слетали с деревьев на голову и плечи девочки.	96:102	0:119
голова	NN	example	22	22_голова_157822		Горький обладает именно такой головой и я очень понимаю Сергеева-Ценского, сказавшему кому-то после первого свидания с Горьким, что«я еще не встречал в жизни такого классового человека, как Горький».	30:37	0:199
голова	NN	example	22	22_голова_204624		-- Потом вот так, видишь?-- и он придвинул голову Анатоля к отверстию, оставленному воротником, из которого виднелась блестящая улыбка Матреши.	43:49	0:143
