identifier1	identifier2	annotator	judgment	comment	lemma
29659	29662	georg_lonsh	4	comment	друг
29653	29662	erykov1234	4	comment	друг
29650	29662	georg_lonsh	4	comment	друг
29648	29662	georg_lonsh	4	comment	друг
29640	29662	georg_lonsh	4	comment	друг
29638	29662	raskolrus	3	comment	друг
29631	29662	georg_lonsh	4	comment	друг
29660	29661	erykov1234	1	comment	друг
29636	29661	georg_lonsh	4	comment	друг
29658	29660	georg_lonsh	4	comment	друг
29656	29660	erykov1234	1	comment	друг
29655	29660	georg_lonsh	2	comment	друг
29644	29660	georg_lonsh	4	comment	друг
29662	29659	raskolrus	4	comment	друг
29655	29659	erykov1234	1	comment	друг
29638	29659	erykov1234	4	comment	друг
29638	29659	erykov1234	4	comment	друг
29636	29659	raskolrus	2	comment	друг
29635	29659	raskolrus	3	comment	друг
29635	29659	erykov1234	1	comment	друг
29631	29659	erykov1234	4	comment	друг
29630	29659	georg_lonsh	4	comment	друг
29655	29658	raskolrus	2	comment	друг
29652	29658	erykov1234	4	comment	друг
29644	29658	raskolrus	3	comment	друг
29637	29658	georg_lonsh	2	comment	друг
29636	29658	erykov1234	1	comment	друг
29634	29658	georg_lonsh	4	comment	друг
29633	29658	raskolrus	4	comment	друг
29630	29658	erykov1234	4	comment	друг
29658	29657	erykov1234	4	comment	друг
29652	29657	erykov1234	4	comment	друг
29645	29657	raskolrus	3	comment	друг
29644	29657	erykov1234	1	comment	друг
29637	29657	raskolrus	2	comment	друг
29636	29657	georg_lonsh	2	comment	друг
29636	29657	raskolrus	2	comment	друг
29657	29656	raskolrus	4	comment	друг
29655	29656	raskolrus	2	comment	друг
29643	29656	erykov1234	1	comment	друг
29638	29656	erykov1234	4	comment	друг
29650	29655	raskolrus	3	comment	друг
29648	29655	erykov1234	1	comment	друг
29642	29655	georg_lonsh	2	comment	друг
29639	29655	erykov1234	1	comment	друг
29636	29655	raskolrus	4	comment	друг
29630	29655	erykov1234	1	comment	друг
29661	29654	georg_lonsh	4	comment	друг
29659	29654	erykov1234	1	comment	друг
29657	29654	raskolrus	2	comment	друг
29645	29654	georg_lonsh	2	comment	друг
29643	29654	raskolrus	4	comment	друг
29638	29654	raskolrus	2	comment	друг
29636	29654	raskolrus	4	comment	друг
29660	29653	raskolrus	3	comment	друг
29657	29653	georg_lonsh	4	comment	друг
29654	29653	raskolrus	2	comment	друг
29652	29653	georg_lonsh	4	comment	друг
29647	29653	georg_lonsh	4	comment	друг
29645	29653	georg_lonsh	4	comment	друг
29642	29653	erykov1234	1	comment	друг
29639	29653	erykov1234	4	comment	друг
29631	29653	georg_lonsh	4	comment	друг
29660	29652	georg_lonsh	4	comment	друг
29658	29652	georg_lonsh	4	comment	друг
29651	29652	raskolrus	4	comment	друг
29647	29652	erykov1234	4	comment	друг
29638	29652	raskolrus	4	comment	друг
29636	29652	erykov1234	1	comment	друг
29634	29652	erykov1234	4	comment	друг
29662	29651	georg_lonsh	4	comment	друг
29660	29651	raskolrus	4	comment	друг
29654	29651	georg_lonsh	2	comment	друг
29650	29651	raskolrus	3	comment	друг
29635	29651	georg_lonsh	4	comment	друг
29632	29651	erykov1234	4	comment	друг
29631	29650	erykov1234	1	comment	друг
29641	29649	raskolrus	2	comment	друг
29638	29649	erykov1234	4	comment	друг
29630	29649	erykov1234	4	comment	друг
29644	29648	erykov1234	4	comment	друг
29638	29648	raskolrus	3	comment	друг
29635	29648	erykov1234	4	comment	друг
29634	29648	erykov1234	1	comment	друг
29633	29648	erykov1234	1	comment	друг
29631	29648	georg_lonsh	4	comment	друг
29659	29647	georg_lonsh	4	comment	друг
29648	29647	raskolrus	3	comment	друг
29645	29647	raskolrus	3	comment	друг
29662	29646	georg_lonsh	2	comment	друг
29660	29646	erykov1234	1	comment	друг
29647	29646	raskolrus	2	comment	друг
29639	29646	erykov1234	1	comment	друг
29638	29646	georg_lonsh	2	comment	друг
29636	29646	raskolrus	4	comment	друг
29629	29646	georg_lonsh	2	comment	друг
29658	29645	erykov1234	1	comment	друг
29648	29645	erykov1234	4	comment	друг
29642	29645	raskolrus	4	comment	друг
29641	29645	georg_lonsh	2	comment	друг
29640	29645	georg_lonsh	4	comment	друг
29635	29645	raskolrus	4	comment	друг
29655	29644	raskolrus	3	comment	друг
29655	29644	erykov1234	1	comment	друг
29651	29644	georg_lonsh	4	comment	друг
29641	29644	erykov1234	1	comment	друг
29640	29644	erykov1234	1	comment	друг
29635	29644	raskolrus	4	comment	друг
29636	29643	erykov1234	4	comment	друг
29657	29642	erykov1234	1	comment	друг
29650	29642	georg_lonsh	4	comment	друг
29649	29642	raskolrus	3	comment	друг
29629	29642	georg_lonsh	4	comment	друг
29657	29641	erykov1234	1	comment	друг
29646	29641	georg_lonsh	4	comment	друг
29631	29641	erykov1234	1	comment	друг
29629	29641	erykov1234	1	comment	друг
29651	29640	erykov1234	4	comment	друг
29639	29640	raskolrus	4	comment	друг
29662	29639	erykov1234	4	comment	друг
29646	29639	georg_lonsh	2	comment	друг
29637	29639	georg_lonsh	2	comment	друг
29630	29639	erykov1234	4	comment	друг
29661	29638	raskolrus	2	comment	друг
29659	29638	raskolrus	4	comment	друг
29658	29638	georg_lonsh	4	comment	друг
29657	29638	georg_lonsh	4	comment	друг
29657	29638	raskolrus	4	comment	друг
29654	29638	georg_lonsh	2	comment	друг
29652	29638	erykov1234	4	comment	друг
29651	29638	erykov1234	4	comment	друг
29647	29638	raskolrus	4	comment	друг
29644	29638	georg_lonsh	4	comment	друг
29640	29638	georg_lonsh	4	comment	друг
29636	29638	raskolrus	2	comment	друг
29653	29637	raskolrus	2	comment	друг
29636	29637	raskolrus	4	comment	друг
29633	29637	raskolrus	2	comment	друг
29632	29637	raskolrus	2	comment	друг
29660	29636	erykov1234	1	comment	друг
29656	29636	georg_lonsh	2	comment	друг
29655	29636	erykov1234	4	comment	друг
29653	29636	erykov1234	1	comment	друг
29644	29636	erykov1234	1	comment	друг
29643	29636	raskolrus	4	comment	друг
29638	29636	georg_lonsh	2	comment	друг
29638	29636	erykov1234	1	comment	друг
29635	29636	erykov1234	1	comment	друг
29629	29636	erykov1234	1	comment	друг
29658	29635	raskolrus	3	comment	друг
29654	29635	raskolrus	3	comment	друг
29652	29635	raskolrus	2	comment	друг
29650	29635	erykov1234	4	comment	друг
29641	29635	erykov1234	1	comment	друг
29638	29635	georg_lonsh	4	comment	друг
29659	29634	erykov1234	4	comment	друг
29652	29634	raskolrus	4	comment	друг
29651	29634	georg_lonsh	4	comment	друг
29651	29634	erykov1234	4	comment	друг
29646	29634	erykov1234	1	comment	друг
29645	29634	georg_lonsh	4	comment	друг
29638	29634	erykov1234	4	comment	друг
29632	29634	georg_lonsh	4	comment	друг
29662	29633	raskolrus	4	comment	друг
29652	29633	georg_lonsh	4	comment	друг
29651	29633	raskolrus	4	comment	друг
29647	29633	raskolrus	4	comment	друг
29644	29633	raskolrus	3	comment	друг
29637	29633	erykov1234	1	comment	друг
29636	29633	erykov1234	1	comment	друг
29660	29632	georg_lonsh	4	comment	друг
29657	29632	georg_lonsh	4	comment	друг
29654	29632	georg_lonsh	2	comment	друг
29651	29632	raskolrus	4	comment	друг
29647	29632	georg_lonsh	4	comment	друг
29635	29632	georg_lonsh	4	comment	друг
29660	29631	erykov1234	1	comment	друг
29655	29631	raskolrus	2	comment	друг
29654	29631	georg_lonsh	2	comment	друг
29649	29631	georg_lonsh	4	comment	друг
29643	29631	raskolrus	2	comment	друг
29633	29631	georg_lonsh	4	comment	друг
29662	29630	raskolrus	4	comment	друг
29661	29630	raskolrus	2	comment	друг
29660	29630	erykov1234	1	comment	друг
29651	29630	raskolrus	4	comment	друг
29648	29630	erykov1234	1	comment	друг
29642	29630	raskolrus	3	comment	друг
29638	29630	georg_lonsh	4	comment	друг
29662	29629	erykov1234	4	comment	друг
29659	29629	raskolrus	4	comment	друг
29655	29629	erykov1234	1	comment	друг
29654	29629	erykov1234	1	comment	друг
29644	29629	georg_lonsh	4	comment	друг
29643	29629	erykov1234	1	comment	друг
29632	29629	erykov1234	4	comment	друг
