lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
женщина	NN	example	22	22_женщина_137987		Женщины выносили хлеб, дыни и арбузы, останавливая экипажи, они простосердечно угощали, чем Бог послал, стараясь ласковым словом утешить скорбных.	0:7	0:146	29460	sem_cluster_extra	ru	ek.gavrishina
женщина	NN	example	22	22_женщина_128902		-- Помилуйте, князь!-- вскричала она, сверкая глазами,-- если уж ваша Наталья Дмитриевна бесподобная женщина, так уж я и не знаю, что после этого!	101:108	0:146	29476	sem_cluster_extra	ru	ek.gavrishina
женщина	NN	example	22	22_женщина_35393		Он отдаст ее Юлии Дмитриевне: женщина бездетная-- пускай учит уму-разуму способную девчонку...	30:37	0:94	29464	sem_cluster_extra	ru	ek.gavrishina
женщина	NN	example	22	22_женщина_98468		Подобно Ненскому, мужу«Счастливой женщины», Андрей Федорович не препятствовал жене своей жить, как ей нравится.	34:41	0:111	29459	sem_cluster_extra	ru	ek.gavrishina
женщина	NN	example	22	22_женщина_126866		Этакая мнительная женщина: просто смотреть досадно!	18:25	0:51	29483	sem_cluster_extra	ru	ek.gavrishina
женщина	NN	example	22	22_женщина_83472		И почему эта женщина в папахе, с коротко остриженной головой, эта чужая мне незнакомка, говорит со мною на«ты» и зовет меня Жоржем?	13:20	0:131	29484	sem_cluster_extra	ru	ek.gavrishina
женщина	NN	example	22	22_женщина_14873		Фаля не призналась, что видела в окне женщину, остальные не признались тем более.	38:45	0:81	29470	sem_cluster_extra	ru	ek.gavrishina
женщина	NN	example	22	22_женщина_128947		Я сообщил раз студенту, что Жан-Жак Руссо признается в своей«Исповеди», что он, уже юношей, любил потихоньку из-за угла выставлять, обнажив их, обыкновенно закрываемые части тела и поджидал в таком виде проходивших женщин.	215:221	0:222	29465	sem_cluster_extra	ru	ek.gavrishina
женщина	NN	example	22	22_женщина_2536		Конечно, в поликлинике было интересно: блестящие инструменты, научные приборы, душевные женщины в очереди,-- но Раймонда боялась загреметь оттуда в больницу, оставя Глеба наедине с размышлениями, какую из жен он жалеет больше.	88:95	0:226	29474	sem_cluster_extra	ru	ek.gavrishina
женщина	NN	example	22	22_женщина_130437		Опять буду говорить ему некстати о будуаре, о женщинах, о том, что честно или нечестно.	46:54	0:87	29473	sem_cluster_extra	ru	ek.gavrishina
женщина	NN	example	22	22_женщина_100047		Женщина эта оставляет впечатление жуткое, это-- одержимая сатанинским сладострастием, она практикует католическую религию и, вместе с тем, через одного католического священника-сатаниста участвует в черной мессе.	0:7	0:212	29466	sem_cluster_extra	ru	ek.gavrishina
женщина	NN	example	22	22_женщина_39537		Женщина эта отправилась на поиски подвига, а нашла на свою задницу приключений.	0:7	0:79	29471	sem_cluster_extra	ru	ek.gavrishina
женщина	NN	example	22	22_женщина_95705		Уличают любовь прыщиком на носу любимой женщины, уличают смерть запахом тления, литературу уличают гонорарами и опечатками.	40:47	0:123	29462	sem_cluster_extra	ru	ek.gavrishina
женщина	NN	example	22	22_женщина_96315		-- Девушка-- желторотый воробей,-- продолжал он свои манипуляции,-- от нее пахнет булкой; женщина-- это цветок, это благоухание.	90:97	0:128	29486	sem_cluster_extra	ru	ek.gavrishina
