lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
ночь	NN	example	22	22_ночь_42026		Раз в год, в Святую ночь, получали голубую салоникскую ткань на одежду по десяти аршин на брата, отрезы муслина на тюрбаны и рубахи.	20:24	0:132	27982	sem_cluster	ru	ek.gavrishina
ночь	NN	example	22	22_ночь_23594		Однажды утром, не обнаружив в доме ни единой запечатанной поллитровки-- все было выпито в долгие ночи дождя и тоски,-- Алексей решил предпринять вылазку в местный торговый центр.	97:101	0:178	27969	sem_cluster	ru	ek.gavrishina
ночь	NN	example	22	22_ночь_32777		Наверное, сжигали по ночам, а пепел съедали, запивая дармовым кефиром.	21:26	0:70	27977	sem_cluster	ru	ek.gavrishina
ночь	NN	example	22	22_ночь_12265		Коротков же сказал-- звонить немедленно, в любое время дня и ночи.	61:65	0:66	27978	sem_cluster	ru	ek.gavrishina
ночь	NN	example	22	22_ночь_350		В дни итальянского Гран-при здесь происходит невероятное скопление фанов«Феррари» со всей планеты, которые с утра пятницы до ночи воскресенья терроризируют местных барменов и жителей городка громкими песнями и алыми дымовыми шашками.	125:129	0:233	27975	sem_cluster	ru	ek.gavrishina
ночь	NN	example	22	22_ночь_123731		Все время говорили взапуски о местных кокотках и о тех притонах, где эти messieurs du gouvernement проводили свои вечера и ночи.	123:127	0:128	27990	sem_cluster	ru	ek.gavrishina
ночь	NN	example	22	22_ночь_115068		По ночам весь горизонт облегали огни, в теплом душистом воздухе непрерывно звенели заунывные песни, потому что это было время покоса.	3:8	0:133	27960	sem_cluster	ru	ek.gavrishina
ночь	NN	example	22	22_ночь_71589		Однажды ночью Афанасию, когда он спал, привиделся чудесный сон.	8:13	0:63	27992	sem_cluster	ru	ek.gavrishina
ночь	NN	example	22	22_ночь_112465		Девка, середи ночи, у холостого мужчины, в таком наряде: о бесстыдница!	14:18	0:71	27963	sem_cluster	ru	ek.gavrishina
ночь	NN	example	22	22_ночь_106354		А Маяковский, смеясь, оглядывался на пропадавшие в ночь фигуры.	51:55	0:63	27967	sem_cluster	ru	ek.gavrishina
ночь	NN	example	22	22_ночь_134852		Еще хорошо, что хоть мережу-то вчера на ночь догадался поставить.	40:44	0:65	27993	sem_cluster	ru	ek.gavrishina
ночь	NN	example	22	22_ночь_81285		В центре Парижа, на Итальянском бульвере, во 2-м часу ночи, когда публика возвращалась из театров, было произведено дерзкое нападение апашей на автомобиль.	54:58	0:155	27974	sem_cluster	ru	ek.gavrishina
ночь	NN	example	22	22_ночь_103112		На ночь мне приготовляли постель на мягком диване в столовой, а для того чтобы я мог писать статьи или редактировать чужие произведения для нашего печатавшегося в тайной типографии журнала«Земля и воля», мне предоставлен был рабочий кабинет Корша, за исключением трех часов, когда он принимал в нем своих клиентов.	3:7	0:314	27981	sem_cluster	ru	ek.gavrishina
ночь	NN	example	22	22_ночь_72418		Ночью он очень горел, но спал, утром послали за доктором, он сейчас же сказал, что это скарлатина.	0:5	0:98	27980	sem_cluster	ru	ek.gavrishina
ночь	NN	example	22	22_ночь_84101		Ночью ему снились тёмные коридоры, в которых он блуждал одинокий, всеми покинутый, со слезами на глазах и коротким кинжалом у пояса.	0:5	0:132	27983	sem_cluster	ru	ek.gavrishina
ночь	NN	example	22	22_ночь_101458		Как затопишь у себя там, иди на всю ночь на лестницу и смотри.	36:40	0:62	27970	sem_cluster	ru	ek.gavrishina
