identifier1	identifier2	annotator	judgment	comment	lemma
28243	28267	erykov1234	4	comment	государство
28243	28267	raskolrus	3	comment	государство
28243	28251	georg_lonsh	4	comment	государство
28243	28246	erykov1234	4	comment	государство
28243	28247	raskolrus	2	comment	государство
28243	28249	erykov1234	4	comment	государство
28262	28255	erykov1234	4	comment	государство
28262	28261	georg_lonsh	0	comment	государство
28262	28256	georg_lonsh	0	comment	государство
28262	28243	georg_lonsh	4	comment	государство
28262	28248	raskolrus	2	comment	государство
28262	28253	georg_lonsh	0	comment	государство
28262	28267	raskolrus	3	comment	государство
28262	28267	erykov1234	4	comment	государство
28262	28241	erykov1234	4	comment	государство
28262	28261	erykov1234	4	comment	государство
28262	28257	raskolrus	2	comment	государство
28262	28265	erykov1234	4	comment	государство
28262	28269	raskolrus	4	comment	государство
28248	28270	erykov1234	4	comment	государство
28248	28246	raskolrus	2	comment	государство
28240	28261	raskolrus	4	comment	государство
28240	28271	erykov1234	4	comment	государство
28240	28269	georg_lonsh	4	comment	государство
28240	28245	erykov1234	3	comment	государство
28240	28244	raskolrus	3	comment	государство
28247	28268	raskolrus	3	comment	государство
28247	28272	erykov1234	2	comment	государство
28247	28241	erykov1234	4	comment	государство
28247	28249	raskolrus	2	comment	государство
28247	28258	georg_lonsh	3	comment	государство
28247	28250	erykov1234	1	comment	государство
28265	28253	raskolrus	2	comment	государство
28265	28262	georg_lonsh	3	comment	государство
28265	28244	erykov1234	4	comment	государство
28265	28268	raskolrus	3	comment	государство
28265	28273	erykov1234	4	comment	государство
28265	28272	georg_lonsh	3	comment	государство
28265	28264	erykov1234	1	comment	государство
28265	28264	georg_lonsh	0	comment	государство
28265	28244	raskolrus	3	comment	государство
28265	28266	georg_lonsh	3	comment	государство
28265	28248	georg_lonsh	4	comment	государство
28257	28263	georg_lonsh	3	comment	государство
28257	28258	raskolrus	3	comment	государство
28257	28261	raskolrus	2	comment	государство
28257	28264	raskolrus	2	comment	государство
28257	28248	georg_lonsh	4	comment	государство
28257	28264	erykov1234	1	comment	государство
28257	28250	georg_lonsh	0	comment	государство
28257	28270	erykov1234	4	comment	государство
28272	28242	georg_lonsh	3	comment	государство
28272	28260	raskolrus	4	comment	государство
28272	28255	raskolrus	4	comment	государство
28272	28271	georg_lonsh	4	comment	государство
28272	28258	georg_lonsh	4	comment	государство
28272	28263	georg_lonsh	3	comment	государство
28272	28268	georg_lonsh	4	comment	государство
28272	28243	erykov1234	4	comment	государство
28261	28272	erykov1234	4	comment	государство
28261	28248	raskolrus	2	comment	государство
28261	28243	erykov1234	3	comment	государство
28261	28246	georg_lonsh	3	comment	государство
28261	28263	erykov1234	4	comment	государство
28261	28272	georg_lonsh	4	comment	государство
28260	28243	georg_lonsh	4	comment	государство
28260	28250	raskolrus	3	comment	государство
28260	28264	georg_lonsh	4	comment	государство
28260	28253	erykov1234	1	comment	государство
28260	28240	erykov1234	1	comment	государство
28260	28245	erykov1234	3	comment	государство
28260	28265	raskolrus	3	comment	государство
28260	28259	erykov1234	1	comment	государство
28260	28268	georg_lonsh	4	comment	государство
28260	28273	raskolrus	3	comment	государство
28260	28271	raskolrus	3	comment	государство
28260	28251	georg_lonsh	4	comment	государство
28260	28242	erykov1234	1	comment	государство
28260	28267	raskolrus	3	comment	государство
28245	28255	erykov1234	4	comment	государство
28245	28262	georg_lonsh	3	comment	государство
28245	28251	raskolrus	2	comment	государство
28245	28268	georg_lonsh	3	comment	государство
28245	28241	georg_lonsh	4	comment	государство
28245	28271	erykov1234	4	comment	государство
28241	28259	georg_lonsh	3	comment	государство
28241	28257	georg_lonsh	4	comment	государство
28241	28266	erykov1234	2	comment	государство
28250	28273	erykov1234	1	comment	государство
28250	28262	raskolrus	4	comment	государство
28250	28269	georg_lonsh	4	comment	государство
28250	28255	georg_lonsh	4	comment	государство
28250	28271	erykov1234	3	comment	государство
28250	28273	georg_lonsh	4	comment	государство
28250	28240	erykov1234	1	comment	государство
28254	28267	erykov1234	4	comment	государство
28254	28249	erykov1234	4	comment	государство
28254	28259	raskolrus	4	comment	государство
28254	28246	raskolrus	3	comment	государство
28256	28253	erykov1234	4	comment	государство
28256	28268	erykov1234	3	comment	государство
28256	28250	georg_lonsh	0	comment	государство
28256	28270	raskolrus	3	comment	государство
28256	28269	raskolrus	2	comment	государство
28256	28245	erykov1234	0	comment	государство
28264	28243	erykov1234	1	comment	государство
28264	28246	raskolrus	4	comment	государство
28264	28271	erykov1234	1	comment	государство
28264	28270	raskolrus	3	comment	государство
28264	28272	erykov1234	2	comment	государство
28264	28263	georg_lonsh	3	comment	государство
28264	28250	erykov1234	4	comment	государство
28264	28254	georg_lonsh	0	comment	государство
28264	28244	raskolrus	3	comment	государство
28246	28270	erykov1234	4	comment	государство
28246	28269	raskolrus	4	comment	государство
28246	28242	raskolrus	2	comment	государство
28246	28251	raskolrus	4	comment	государство
28259	28250	erykov1234	1	comment	государство
28259	28256	georg_lonsh	3	comment	государство
28259	28256	raskolrus	4	comment	государство
28259	28241	erykov1234	4	comment	государство
28259	28265	georg_lonsh	4	comment	государство
28253	28257	raskolrus	2	comment	государство
28253	28246	erykov1234	4	comment	государство
28253	28242	raskolrus	2	comment	государство
28253	28240	georg_lonsh	4	comment	государство
28253	28242	erykov1234	4	comment	государство
28253	28250	georg_lonsh	4	comment	государство
28253	28254	erykov1234	4	comment	государство
28253	28248	georg_lonsh	3	comment	государство
28258	28270	georg_lonsh	3	comment	государство
28258	28268	georg_lonsh	4	comment	государство
28258	28256	georg_lonsh	3	comment	государство
